Loading solver states for value-error benchmarking...
iter    1/300: games={'X': 13, 'O': 5, 'draw': 2}, examples=188, value_loss=0.9242, policy_loss=1.6525, value_error_vs_solver=0.6994, elapsed=6.6s
iter    2/300: games={'X': 10, 'O': 9, 'draw': 1}, examples=156, value_loss=1.0202, policy_loss=1.7028, value_error_vs_solver=0.7136, elapsed=4.4s
iter    3/300: games={'X': 10, 'O': 8, 'draw': 2}, examples=194, value_loss=0.7567, policy_loss=1.5921, value_error_vs_solver=0.7448, elapsed=5.5s
iter    4/300: games={'X': 9, 'O': 7, 'draw': 4}, examples=192, value_loss=0.6910, policy_loss=1.6460, value_error_vs_solver=0.7663, elapsed=6.3s
iter    5/300: games={'X': 9, 'O': 8, 'draw': 3}, examples=265, value_loss=0.6112, policy_loss=1.5460, value_error_vs_solver=0.7954, elapsed=8.0s
iter    6/300: games={'X': 10, 'O': 4, 'draw': 6}, examples=263, value_loss=0.4140, policy_loss=1.5788, value_error_vs_solver=0.7207, elapsed=9.8s
iter    7/300: games={'X': 8, 'O': 10, 'draw': 2}, examples=216, value_loss=0.8946, policy_loss=1.5989, value_error_vs_solver=0.7567, elapsed=7.0s
iter    8/300: games={'X': 7, 'O': 10, 'draw': 3}, examples=220, value_loss=0.6720, policy_loss=1.5644, value_error_vs_solver=0.7922, elapsed=8.5s
iter    9/300: games={'X': 11, 'O': 5, 'draw': 4}, examples=263, value_loss=0.6141, policy_loss=1.4762, value_error_vs_solver=0.7127, elapsed=9.5s
iter   10/300: games={'X': 9, 'O': 6, 'draw': 5}, examples=203, value_loss=0.5044, policy_loss=1.5144, value_error_vs_solver=0.7424, elapsed=7.2s
iter   11/300: games={'X': 11, 'O': 6, 'draw': 3}, examples=247, value_loss=0.7247, policy_loss=1.4744, value_error_vs_solver=0.7627, elapsed=8.7s
iter   12/300: games={'X': 10, 'O': 7, 'draw': 3}, examples=189, value_loss=0.6387, policy_loss=1.6207, value_error_vs_solver=0.7837, elapsed=6.1s
iter   13/300: games={'X': 6, 'O': 10, 'draw': 4}, examples=269, value_loss=0.5493, policy_loss=1.4100, value_error_vs_solver=0.8009, elapsed=9.0s
iter   14/300: games={'X': 9, 'O': 5, 'draw': 6}, examples=230, value_loss=0.4434, policy_loss=1.5075, value_error_vs_solver=0.7618, elapsed=7.8s
iter   15/300: games={'X': 5, 'O': 8, 'draw': 7}, examples=332, value_loss=0.3592, policy_loss=1.3253, value_error_vs_solver=0.7475, elapsed=11.8s
iter   16/300: games={'X': 8, 'O': 10, 'draw': 2}, examples=203, value_loss=0.7072, policy_loss=1.5557, value_error_vs_solver=0.6835, elapsed=7.3s
iter   17/300: games={'X': 11, 'O': 6, 'draw': 3}, examples=250, value_loss=0.5914, policy_loss=1.3914, value_error_vs_solver=0.7118, elapsed=8.6s
iter   18/300: games={'X': 8, 'O': 7, 'draw': 5}, examples=267, value_loss=0.5016, policy_loss=1.3560, value_error_vs_solver=0.6783, elapsed=9.3s
iter   19/300: games={'X': 8, 'O': 8, 'draw': 4}, examples=231, value_loss=0.5494, policy_loss=1.4005, value_error_vs_solver=0.7079, elapsed=9.4s
iter   20/300: games={'X': 10, 'O': 8, 'draw': 2}, examples=198, value_loss=0.7144, policy_loss=1.4218, value_error_vs_solver=0.6828, elapsed=6.7s
iter   21/300: games={'X': 10, 'O': 8, 'draw': 2}, examples=189, value_loss=0.7072, policy_loss=1.5243, value_error_vs_solver=0.7212, elapsed=6.9s
iter   22/300: games={'X': 9, 'O': 8, 'draw': 3}, examples=218, value_loss=0.5505, policy_loss=1.3678, value_error_vs_solver=0.7275, elapsed=8.0s
iter   23/300: games={'X': 9, 'O': 5, 'draw': 6}, examples=232, value_loss=0.4644, policy_loss=1.5114, value_error_vs_solver=0.6738, elapsed=8.2s
iter   24/300: games={'X': 8, 'O': 10, 'draw': 2}, examples=220, value_loss=0.5977, policy_loss=1.4261, value_error_vs_solver=0.6946, elapsed=8.1s
iter   25/300: games={'X': 12, 'O': 6, 'draw': 2}, examples=150, value_loss=0.7418, policy_loss=1.6372, value_error_vs_solver=0.6832, elapsed=6.5s
iter   26/300: games={'X': 12, 'O': 6, 'draw': 2}, examples=189, value_loss=0.6506, policy_loss=1.5175, value_error_vs_solver=0.6772, elapsed=7.4s
iter   27/300: games={'X': 14, 'O': 1, 'draw': 5}, examples=227, value_loss=0.4366, policy_loss=1.2968, value_error_vs_solver=0.7284, elapsed=8.4s
iter   28/300: games={'X': 9, 'O': 8, 'draw': 3}, examples=216, value_loss=0.7122, policy_loss=1.4685, value_error_vs_solver=0.7145, elapsed=7.2s
iter   29/300: games={'X': 16, 'O': 3, 'draw': 1}, examples=166, value_loss=0.7604, policy_loss=1.6427, value_error_vs_solver=0.6791, elapsed=6.2s
iter   30/300: games={'X': 7, 'O': 10, 'draw': 3}, examples=211, value_loss=0.6216, policy_loss=1.3649, value_error_vs_solver=0.7110, elapsed=6.7s
iter   31/300: games={'X': 10, 'O': 5, 'draw': 5}, examples=247, value_loss=0.3709, policy_loss=1.2926, value_error_vs_solver=0.7022, elapsed=9.5s
iter   32/300: games={'X': 8, 'O': 6, 'draw': 6}, examples=245, value_loss=0.4487, policy_loss=1.2681, value_error_vs_solver=0.7196, elapsed=8.6s
iter   33/300: games={'X': 9, 'O': 4, 'draw': 7}, examples=260, value_loss=0.3757, policy_loss=1.2380, value_error_vs_solver=0.7096, elapsed=8.7s
iter   34/300: games={'X': 11, 'O': 4, 'draw': 5}, examples=204, value_loss=0.4448, policy_loss=1.2690, value_error_vs_solver=0.7358, elapsed=7.1s
iter   35/300: games={'X': 8, 'O': 5, 'draw': 7}, examples=258, value_loss=0.3421, policy_loss=1.0782, value_error_vs_solver=0.7267, elapsed=8.8s
iter   36/300: games={'X': 12, 'O': 2, 'draw': 6}, examples=218, value_loss=0.3345, policy_loss=1.2178, value_error_vs_solver=0.7411, elapsed=8.3s
iter   37/300: games={'X': 11, 'O': 5, 'draw': 4}, examples=223, value_loss=0.5203, policy_loss=1.2928, value_error_vs_solver=0.7015, elapsed=8.0s
iter   38/300: games={'X': 11, 'O': 6, 'draw': 3}, examples=189, value_loss=0.5202, policy_loss=1.3389, value_error_vs_solver=0.7331, elapsed=6.4s
iter   39/300: games={'X': 11, 'O': 4, 'draw': 5}, examples=213, value_loss=0.4063, policy_loss=1.2440, value_error_vs_solver=0.7382, elapsed=7.9s
iter   40/300: games={'X': 13, 'O': 7, 'draw': 0}, examples=129, value_loss=0.5578, policy_loss=1.6771, value_error_vs_solver=0.7058, elapsed=4.0s
iter   41/300: games={'X': 13, 'O': 3, 'draw': 4}, examples=209, value_loss=0.4060, policy_loss=1.2669, value_error_vs_solver=0.6863, elapsed=7.4s
iter   42/300: games={'X': 10, 'O': 6, 'draw': 4}, examples=216, value_loss=0.4258, policy_loss=1.2842, value_error_vs_solver=0.7050, elapsed=7.3s
iter   43/300: games={'X': 10, 'O': 7, 'draw': 3}, examples=222, value_loss=0.6151, policy_loss=1.3074, value_error_vs_solver=0.6839, elapsed=7.9s
iter   44/300: games={'X': 9, 'O': 9, 'draw': 2}, examples=194, value_loss=0.7445, policy_loss=1.4634, value_error_vs_solver=0.6944, elapsed=6.5s
iter   45/300: games={'X': 11, 'O': 6, 'draw': 3}, examples=223, value_loss=0.5618, policy_loss=1.2843, value_error_vs_solver=0.6952, elapsed=8.1s
iter   46/300: games={'X': 10, 'O': 7, 'draw': 3}, examples=185, value_loss=0.5119, policy_loss=1.3214, value_error_vs_solver=0.7225, elapsed=6.6s
iter   47/300: games={'X': 13, 'O': 3, 'draw': 4}, examples=201, value_loss=0.4046, policy_loss=1.1999, value_error_vs_solver=0.7376, elapsed=7.0s
iter   48/300: games={'X': 9, 'O': 4, 'draw': 7}, examples=248, value_loss=0.3066, policy_loss=1.0549, value_error_vs_solver=0.7041, elapsed=9.3s
iter   49/300: games={'X': 6, 'O': 8, 'draw': 6}, examples=218, value_loss=0.4220, policy_loss=1.1158, value_error_vs_solver=0.7229, elapsed=8.9s
iter   50/300: games={'X': 9, 'O': 7, 'draw': 4}, examples=218, value_loss=0.4513, policy_loss=1.1700, value_error_vs_solver=0.6829, elapsed=9.6s
iter   51/300: games={'X': 8, 'O': 5, 'draw': 7}, examples=253, value_loss=0.4158, policy_loss=1.0204, value_error_vs_solver=0.6846, elapsed=10.3s
iter   52/300: games={'X': 7, 'O': 8, 'draw': 5}, examples=198, value_loss=0.5762, policy_loss=1.0636, value_error_vs_solver=0.6488, elapsed=7.3s
iter   53/300: games={'X': 8, 'O': 6, 'draw': 6}, examples=246, value_loss=0.3335, policy_loss=1.0448, value_error_vs_solver=0.6810, elapsed=8.1s
iter   54/300: games={'X': 9, 'O': 5, 'draw': 6}, examples=234, value_loss=0.3756, policy_loss=1.0924, value_error_vs_solver=0.6639, elapsed=8.5s
iter   55/300: games={'X': 9, 'O': 5, 'draw': 6}, examples=252, value_loss=0.3668, policy_loss=1.0530, value_error_vs_solver=0.7188, elapsed=9.0s
iter   56/300: games={'X': 10, 'O': 4, 'draw': 6}, examples=244, value_loss=0.3525, policy_loss=1.0780, value_error_vs_solver=0.6800, elapsed=8.3s
iter   57/300: games={'X': 11, 'O': 3, 'draw': 6}, examples=254, value_loss=0.3667, policy_loss=1.0684, value_error_vs_solver=0.6840, elapsed=8.9s
iter   58/300: games={'X': 11, 'O': 5, 'draw': 4}, examples=199, value_loss=0.5207, policy_loss=1.1327, value_error_vs_solver=0.6916, elapsed=6.5s
iter   59/300: games={'X': 11, 'O': 3, 'draw': 6}, examples=237, value_loss=0.3016, policy_loss=1.0477, value_error_vs_solver=0.6745, elapsed=10.4s
iter   60/300: games={'X': 9, 'O': 4, 'draw': 7}, examples=266, value_loss=0.3542, policy_loss=1.0564, value_error_vs_solver=0.6648, elapsed=10.0s
iter   61/300: games={'X': 9, 'O': 3, 'draw': 8}, examples=269, value_loss=0.2098, policy_loss=0.9187, value_error_vs_solver=0.6959, elapsed=10.6s
iter   62/300: games={'X': 9, 'O': 4, 'draw': 7}, examples=267, value_loss=0.2663, policy_loss=0.9643, value_error_vs_solver=0.6838, elapsed=11.8s
iter   63/300: games={'X': 11, 'O': 6, 'draw': 3}, examples=183, value_loss=0.4739, policy_loss=1.1801, value_error_vs_solver=0.6926, elapsed=7.8s
iter   64/300: games={'X': 13, 'O': 3, 'draw': 4}, examples=197, value_loss=0.5050, policy_loss=1.1757, value_error_vs_solver=0.6903, elapsed=8.4s
iter   65/300: games={'X': 10, 'O': 7, 'draw': 3}, examples=180, value_loss=0.4701, policy_loss=1.1411, value_error_vs_solver=0.6602, elapsed=7.9s
iter   66/300: games={'X': 11, 'O': 5, 'draw': 4}, examples=199, value_loss=0.4202, policy_loss=1.1758, value_error_vs_solver=0.6402, elapsed=9.6s
iter   67/300: games={'X': 12, 'O': 5, 'draw': 3}, examples=177, value_loss=0.4568, policy_loss=1.1358, value_error_vs_solver=0.6512, elapsed=8.7s
iter   68/300: games={'X': 11, 'O': 2, 'draw': 7}, examples=248, value_loss=0.2534, policy_loss=0.9251, value_error_vs_solver=0.6844, elapsed=10.0s
iter   69/300: games={'X': 9, 'O': 7, 'draw': 4}, examples=236, value_loss=0.5867, policy_loss=1.0584, value_error_vs_solver=0.7074, elapsed=10.1s
iter   70/300: games={'X': 15, 'O': 2, 'draw': 3}, examples=182, value_loss=0.3929, policy_loss=1.0723, value_error_vs_solver=0.6899, elapsed=7.3s
iter   71/300: games={'X': 14, 'O': 2, 'draw': 4}, examples=220, value_loss=0.4056, policy_loss=1.0156, value_error_vs_solver=0.6283, elapsed=8.5s
iter   72/300: games={'X': 11, 'O': 3, 'draw': 6}, examples=255, value_loss=0.3134, policy_loss=0.9324, value_error_vs_solver=0.6757, elapsed=10.4s
iter   73/300: games={'X': 10, 'O': 5, 'draw': 5}, examples=238, value_loss=0.4568, policy_loss=1.0205, value_error_vs_solver=0.6619, elapsed=11.7s
iter   74/300: games={'X': 8, 'O': 5, 'draw': 7}, examples=256, value_loss=0.3536, policy_loss=0.8752, value_error_vs_solver=0.6509, elapsed=13.8s
iter   75/300: games={'X': 8, 'O': 4, 'draw': 8}, examples=280, value_loss=0.3200, policy_loss=0.8716, value_error_vs_solver=0.6501, elapsed=14.3s
iter   76/300: games={'X': 11, 'O': 3, 'draw': 6}, examples=236, value_loss=0.3136, policy_loss=0.9384, value_error_vs_solver=0.6765, elapsed=12.4s
iter   77/300: games={'X': 13, 'O': 2, 'draw': 5}, examples=214, value_loss=0.2735, policy_loss=0.9780, value_error_vs_solver=0.6641, elapsed=9.2s
iter   78/300: games={'X': 16, 'O': 0, 'draw': 4}, examples=211, value_loss=0.2991, policy_loss=1.0582, value_error_vs_solver=0.6788, elapsed=7.8s
iter   79/300: games={'X': 9, 'O': 4, 'draw': 7}, examples=271, value_loss=0.2936, policy_loss=0.9039, value_error_vs_solver=0.6626, elapsed=10.5s
iter   80/300: games={'X': 10, 'O': 5, 'draw': 5}, examples=223, value_loss=0.3808, policy_loss=0.9056, value_error_vs_solver=0.6662, elapsed=10.3s
iter   81/300: games={'X': 6, 'O': 3, 'draw': 11}, examples=341, value_loss=0.2264, policy_loss=0.7310, value_error_vs_solver=0.6766, elapsed=14.9s
iter   82/300: games={'X': 10, 'O': 6, 'draw': 4}, examples=203, value_loss=0.5173, policy_loss=1.0069, value_error_vs_solver=0.6587, elapsed=7.6s
iter   83/300: games={'X': 8, 'O': 3, 'draw': 9}, examples=297, value_loss=0.2490, policy_loss=0.8021, value_error_vs_solver=0.6421, elapsed=11.2s
iter   84/300: games={'X': 12, 'O': 3, 'draw': 5}, examples=199, value_loss=0.2826, policy_loss=0.8809, value_error_vs_solver=0.6694, elapsed=8.6s
iter   85/300: games={'X': 7, 'O': 2, 'draw': 11}, examples=306, value_loss=0.1802, policy_loss=0.6730, value_error_vs_solver=0.6496, elapsed=12.5s
iter   86/300: games={'X': 11, 'O': 3, 'draw': 6}, examples=246, value_loss=0.3379, policy_loss=0.9050, value_error_vs_solver=0.6480, elapsed=9.9s
iter   87/300: games={'X': 9, 'O': 6, 'draw': 5}, examples=229, value_loss=0.4389, policy_loss=0.9801, value_error_vs_solver=0.6588, elapsed=8.6s
iter   88/300: games={'X': 12, 'O': 3, 'draw': 5}, examples=200, value_loss=0.3697, policy_loss=0.8854, value_error_vs_solver=0.6678, elapsed=6.9s
iter   89/300: games={'X': 12, 'O': 2, 'draw': 6}, examples=239, value_loss=0.2719, policy_loss=0.8849, value_error_vs_solver=0.6387, elapsed=9.1s
iter   90/300: games={'X': 6, 'O': 6, 'draw': 8}, examples=288, value_loss=0.3764, policy_loss=0.9620, value_error_vs_solver=0.6470, elapsed=10.5s
iter   91/300: games={'X': 7, 'O': 7, 'draw': 6}, examples=282, value_loss=0.3654, policy_loss=0.8754, value_error_vs_solver=0.6451, elapsed=11.8s
iter   92/300: games={'X': 11, 'O': 4, 'draw': 5}, examples=239, value_loss=0.3924, policy_loss=0.9052, value_error_vs_solver=0.6529, elapsed=11.5s
iter   93/300: games={'X': 11, 'O': 6, 'draw': 3}, examples=230, value_loss=0.5713, policy_loss=1.0619, value_error_vs_solver=0.6619, elapsed=12.2s
iter   94/300: games={'X': 14, 'O': 4, 'draw': 2}, examples=196, value_loss=0.5464, policy_loss=1.0061, value_error_vs_solver=0.6428, elapsed=8.2s
iter   95/300: games={'X': 13, 'O': 2, 'draw': 5}, examples=238, value_loss=0.3361, policy_loss=0.9271, value_error_vs_solver=0.6081, elapsed=12.1s
iter   96/300: games={'X': 12, 'O': 5, 'draw': 3}, examples=231, value_loss=0.5419, policy_loss=0.9788, value_error_vs_solver=0.6347, elapsed=10.8s
iter   97/300: games={'X': 12, 'O': 3, 'draw': 5}, examples=223, value_loss=0.3210, policy_loss=0.8909, value_error_vs_solver=0.6459, elapsed=8.9s
iter   98/300: games={'X': 11, 'O': 3, 'draw': 6}, examples=249, value_loss=0.2613, policy_loss=0.8030, value_error_vs_solver=0.6617, elapsed=10.2s
iter   99/300: games={'X': 12, 'O': 1, 'draw': 7}, examples=248, value_loss=0.2118, policy_loss=0.7701, value_error_vs_solver=0.6292, elapsed=10.7s
iter  100/300: games={'X': 12, 'O': 2, 'draw': 6}, examples=241, value_loss=0.2713, policy_loss=0.8496, value_error_vs_solver=0.6551, elapsed=10.0s
iter  101/300: games={'X': 11, 'O': 1, 'draw': 8}, examples=260, value_loss=0.2030, policy_loss=0.8278, value_error_vs_solver=0.6127, elapsed=9.9s
iter  102/300: games={'X': 6, 'O': 4, 'draw': 10}, examples=325, value_loss=0.2396, policy_loss=0.6834, value_error_vs_solver=0.6212, elapsed=13.3s
iter  103/300: games={'X': 7, 'O': 0, 'draw': 13}, examples=341, value_loss=0.0889, policy_loss=0.5515, value_error_vs_solver=0.6320, elapsed=12.8s
iter  104/300: games={'X': 10, 'O': 4, 'draw': 6}, examples=265, value_loss=0.3507, policy_loss=0.8125, value_error_vs_solver=0.6297, elapsed=9.4s
iter  105/300: games={'X': 12, 'O': 2, 'draw': 6}, examples=254, value_loss=0.2585, policy_loss=0.7729, value_error_vs_solver=0.6092, elapsed=8.6s
iter  106/300: games={'X': 10, 'O': 3, 'draw': 7}, examples=250, value_loss=0.2936, policy_loss=0.7796, value_error_vs_solver=0.6271, elapsed=8.3s
iter  107/300: games={'X': 12, 'O': 3, 'draw': 5}, examples=220, value_loss=0.3277, policy_loss=0.8055, value_error_vs_solver=0.6689, elapsed=9.1s
iter  108/300: games={'X': 13, 'O': 0, 'draw': 7}, examples=271, value_loss=0.1384, policy_loss=0.6633, value_error_vs_solver=0.6486, elapsed=10.0s
iter  109/300: games={'X': 14, 'O': 2, 'draw': 4}, examples=189, value_loss=0.2853, policy_loss=0.8825, value_error_vs_solver=0.6552, elapsed=6.4s
