Loading solver states for value-error benchmarking...
iter    1/300: games={'X': 10, 'O': 9, 'draw': 1}, buffer=211, value_loss=0.9215, policy_loss=1.5754, value_error_vs_solver=0.7292, elapsed=6.1s
iter    2/300: games={'X': 12, 'O': 7, 'draw': 1}, buffer=402, value_loss=0.8633, policy_loss=1.6001, value_error_vs_solver=0.8488, elapsed=4.6s
iter    3/300: games={'X': 7, 'O': 6, 'draw': 7}, buffer=754, value_loss=0.6784, policy_loss=1.5550, value_error_vs_solver=0.7799, elapsed=8.9s
iter    4/300: games={'X': 5, 'O': 12, 'draw': 3}, buffer=980, value_loss=0.6518, policy_loss=1.5182, value_error_vs_solver=0.7318, elapsed=5.4s
iter    5/300: games={'X': 8, 'O': 7, 'draw': 5}, buffer=1226, value_loss=0.6313, policy_loss=1.4755, value_error_vs_solver=0.7735, elapsed=6.2s
iter    6/300: games={'X': 13, 'O': 6, 'draw': 1}, buffer=1433, value_loss=0.6361, policy_loss=1.4591, value_error_vs_solver=0.7214, elapsed=5.0s
iter    7/300: games={'X': 9, 'O': 8, 'draw': 3}, buffer=1643, value_loss=0.6195, policy_loss=1.4205, value_error_vs_solver=0.7054, elapsed=5.3s
iter    8/300: games={'X': 10, 'O': 6, 'draw': 4}, buffer=1899, value_loss=0.5942, policy_loss=1.3810, value_error_vs_solver=0.6952, elapsed=6.2s
iter    9/300: games={'X': 9, 'O': 6, 'draw': 5}, buffer=2127, value_loss=0.5548, policy_loss=1.3683, value_error_vs_solver=0.7252, elapsed=6.6s
iter   10/300: games={'X': 9, 'O': 2, 'draw': 9}, buffer=2408, value_loss=0.4793, policy_loss=1.3154, value_error_vs_solver=0.7042, elapsed=8.0s
iter   11/300: games={'X': 9, 'O': 4, 'draw': 7}, buffer=2659, value_loss=0.4694, policy_loss=1.2730, value_error_vs_solver=0.6486, elapsed=6.7s
iter   12/300: games={'X': 12, 'O': 7, 'draw': 1}, buffer=2814, value_loss=0.4564, policy_loss=1.2639, value_error_vs_solver=0.6424, elapsed=4.6s
iter   13/300: games={'X': 7, 'O': 4, 'draw': 9}, buffer=3101, value_loss=0.4393, policy_loss=1.1988, value_error_vs_solver=0.6713, elapsed=8.2s
iter   14/300: games={'X': 11, 'O': 5, 'draw': 4}, buffer=3306, value_loss=0.4236, policy_loss=1.1555, value_error_vs_solver=0.6587, elapsed=6.1s
iter   15/300: games={'X': 8, 'O': 4, 'draw': 8}, buffer=3566, value_loss=0.4136, policy_loss=1.1459, value_error_vs_solver=0.6707, elapsed=9.2s
iter   16/300: games={'X': 14, 'O': 3, 'draw': 3}, buffer=3736, value_loss=0.4077, policy_loss=1.1012, value_error_vs_solver=0.6355, elapsed=4.7s
iter   17/300: games={'X': 11, 'O': 6, 'draw': 3}, buffer=3937, value_loss=0.4200, policy_loss=1.0828, value_error_vs_solver=0.6415, elapsed=5.5s
iter   18/300: games={'X': 11, 'O': 3, 'draw': 6}, buffer=4144, value_loss=0.3969, policy_loss=1.0611, value_error_vs_solver=0.5925, elapsed=6.7s
iter   19/300: games={'X': 15, 'O': 0, 'draw': 5}, buffer=4371, value_loss=0.3884, policy_loss=1.0069, value_error_vs_solver=0.6208, elapsed=4.9s
iter   20/300: games={'X': 13, 'O': 0, 'draw': 7}, buffer=4620, value_loss=0.3708, policy_loss=0.9977, value_error_vs_solver=0.6146, elapsed=6.5s
iter   21/300: games={'X': 11, 'O': 1, 'draw': 8}, buffer=4909, value_loss=0.3481, policy_loss=0.9667, value_error_vs_solver=0.5776, elapsed=8.1s
iter   22/300: games={'X': 8, 'O': 3, 'draw': 9}, buffer=5149, value_loss=0.3427, policy_loss=0.9430, value_error_vs_solver=0.6286, elapsed=6.6s
iter   23/300: games={'X': 14, 'O': 3, 'draw': 3}, buffer=5329, value_loss=0.3359, policy_loss=0.9522, value_error_vs_solver=0.6422, elapsed=4.7s
iter   24/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer=5562, value_loss=0.3345, policy_loss=0.9397, value_error_vs_solver=0.6356, elapsed=6.5s
iter   25/300: games={'X': 13, 'O': 2, 'draw': 5}, buffer=5815, value_loss=0.3301, policy_loss=0.9071, value_error_vs_solver=0.6163, elapsed=4.9s
iter   26/300: games={'X': 7, 'O': 1, 'draw': 12}, buffer=6101, value_loss=0.3240, policy_loss=0.8998, value_error_vs_solver=0.5694, elapsed=7.3s
iter   27/300: games={'X': 11, 'O': 1, 'draw': 8}, buffer=6348, value_loss=0.3191, policy_loss=0.8894, value_error_vs_solver=0.5682, elapsed=6.0s
iter   28/300: games={'X': 11, 'O': 3, 'draw': 6}, buffer=6577, value_loss=0.3042, policy_loss=0.8711, value_error_vs_solver=0.5530, elapsed=5.9s
iter   29/300: games={'X': 10, 'O': 2, 'draw': 8}, buffer=6840, value_loss=0.2960, policy_loss=0.8549, value_error_vs_solver=0.5836, elapsed=7.4s
iter   30/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer=7026, value_loss=0.2982, policy_loss=0.8476, value_error_vs_solver=0.5721, elapsed=4.8s
iter   31/300: games={'X': 13, 'O': 0, 'draw': 7}, buffer=7244, value_loss=0.2864, policy_loss=0.8357, value_error_vs_solver=0.5803, elapsed=5.2s
iter   32/300: games={'X': 11, 'O': 3, 'draw': 6}, buffer=7479, value_loss=0.2803, policy_loss=0.8364, value_error_vs_solver=0.5925, elapsed=5.6s
iter   33/300: games={'X': 9, 'O': 2, 'draw': 9}, buffer=7730, value_loss=0.2888, policy_loss=0.8296, value_error_vs_solver=0.6128, elapsed=5.3s
iter   34/300: games={'X': 7, 'O': 3, 'draw': 10}, buffer=7984, value_loss=0.2828, policy_loss=0.8263, value_error_vs_solver=0.5811, elapsed=4.8s
iter   35/300: games={'X': 7, 'O': 3, 'draw': 10}, buffer=8000, value_loss=0.2627, policy_loss=0.7933, value_error_vs_solver=0.5562, elapsed=5.6s
iter   36/300: games={'X': 13, 'O': 0, 'draw': 7}, buffer=8000, value_loss=0.2536, policy_loss=0.7834, value_error_vs_solver=0.5461, elapsed=4.0s
iter   37/300: games={'X': 14, 'O': 2, 'draw': 4}, buffer=8000, value_loss=0.2467, policy_loss=0.7508, value_error_vs_solver=0.5274, elapsed=3.9s
iter   38/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.2411, policy_loss=0.7509, value_error_vs_solver=0.5240, elapsed=3.3s
iter   39/300: games={'X': 15, 'O': 0, 'draw': 5}, buffer=8000, value_loss=0.2320, policy_loss=0.7245, value_error_vs_solver=0.5316, elapsed=3.8s
iter   40/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.2266, policy_loss=0.7124, value_error_vs_solver=0.5416, elapsed=3.2s
iter   41/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer=8000, value_loss=0.2098, policy_loss=0.6908, value_error_vs_solver=0.5442, elapsed=3.3s
iter   42/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer=8000, value_loss=0.2056, policy_loss=0.6805, value_error_vs_solver=0.5260, elapsed=2.5s
iter   43/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.2001, policy_loss=0.6709, value_error_vs_solver=0.5106, elapsed=2.3s
iter   44/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.1930, policy_loss=0.6699, value_error_vs_solver=0.4871, elapsed=3.1s
iter   45/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1947, policy_loss=0.6678, value_error_vs_solver=0.5327, elapsed=2.3s
iter   46/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.1868, policy_loss=0.6607, value_error_vs_solver=0.5088, elapsed=2.1s
iter   47/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer=8000, value_loss=0.1901, policy_loss=0.6580, value_error_vs_solver=0.5196, elapsed=2.5s
iter   48/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1889, policy_loss=0.6681, value_error_vs_solver=0.5638, elapsed=2.7s
iter   49/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.1830, policy_loss=0.6487, value_error_vs_solver=0.5000, elapsed=2.3s
iter   50/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1761, policy_loss=0.6521, value_error_vs_solver=0.5025, elapsed=2.9s
iter   51/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1715, policy_loss=0.6418, value_error_vs_solver=0.5027, elapsed=2.3s
iter   52/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1725, policy_loss=0.6433, value_error_vs_solver=0.4915, elapsed=2.4s
iter   53/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.1765, policy_loss=0.6533, value_error_vs_solver=0.5116, elapsed=2.3s
iter   54/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer=8000, value_loss=0.1594, policy_loss=0.6399, value_error_vs_solver=0.4730, elapsed=2.9s
iter   55/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.1542, policy_loss=0.6196, value_error_vs_solver=0.4677, elapsed=3.2s
iter   56/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1551, policy_loss=0.6375, value_error_vs_solver=0.4615, elapsed=2.3s
iter   57/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.1497, policy_loss=0.6405, value_error_vs_solver=0.4773, elapsed=1.9s
iter   58/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.1455, policy_loss=0.6287, value_error_vs_solver=0.4032, elapsed=2.2s
iter   59/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1420, policy_loss=0.6439, value_error_vs_solver=0.4617, elapsed=2.3s
iter   60/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.1395, policy_loss=0.6290, value_error_vs_solver=0.4533, elapsed=2.4s
iter   61/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1400, policy_loss=0.6427, value_error_vs_solver=0.4250, elapsed=1.8s
iter   62/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1386, policy_loss=0.6407, value_error_vs_solver=0.4556, elapsed=2.1s
iter   63/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1319, policy_loss=0.6495, value_error_vs_solver=0.4401, elapsed=2.2s
iter   64/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1352, policy_loss=0.6522, value_error_vs_solver=0.4508, elapsed=2.4s
iter   65/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1316, policy_loss=0.6449, value_error_vs_solver=0.4540, elapsed=2.7s
iter   66/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.1424, policy_loss=0.6470, value_error_vs_solver=0.5024, elapsed=2.3s
iter   67/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.1355, policy_loss=0.6603, value_error_vs_solver=0.5103, elapsed=2.9s
iter   68/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1337, policy_loss=0.6569, value_error_vs_solver=0.4562, elapsed=2.9s
iter   69/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.1273, policy_loss=0.6410, value_error_vs_solver=0.4266, elapsed=2.7s
iter   70/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.1235, policy_loss=0.6585, value_error_vs_solver=0.4446, elapsed=3.0s
iter   71/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1185, policy_loss=0.6582, value_error_vs_solver=0.4552, elapsed=3.5s
iter   72/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1169, policy_loss=0.6577, value_error_vs_solver=0.4730, elapsed=2.8s
iter   73/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.1125, policy_loss=0.6757, value_error_vs_solver=0.4809, elapsed=3.2s
iter   74/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1146, policy_loss=0.6651, value_error_vs_solver=0.4177, elapsed=2.7s
iter   75/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1091, policy_loss=0.6658, value_error_vs_solver=0.4831, elapsed=3.2s
iter   76/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.1097, policy_loss=0.6719, value_error_vs_solver=0.4386, elapsed=3.1s
iter   77/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1134, policy_loss=0.6795, value_error_vs_solver=0.4612, elapsed=2.4s
iter   78/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1110, policy_loss=0.6840, value_error_vs_solver=0.4591, elapsed=2.7s
iter   79/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1029, policy_loss=0.6841, value_error_vs_solver=0.4873, elapsed=2.6s
iter   80/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.1098, policy_loss=0.6978, value_error_vs_solver=0.3882, elapsed=2.6s
