Loading solver states for value-error benchmarking...
Run 'catchup': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter    1/300: games={'X': 9, 'O': 8, 'draw': 3}, buffer_x=103, buffer_o=91, x_frozen=False, gap=-0.0190, value_loss_o=0.9904, policy_loss_o=1.4602, value_error_vs_solver=0.5829 (X=0.5924, O=0.5734), elapsed=8.0s
iter    2/300: games={'X': 7, 'O': 10, 'draw': 3}, buffer_x=207, buffer_o=187, x_frozen=False, gap=-0.0130, value_loss_o=0.8523, policy_loss_o=1.4727, value_error_vs_solver=0.7151 (X=0.7216, O=0.7086), elapsed=7.0s
iter    3/300: games={'X': 8, 'O': 11, 'draw': 1}, buffer_x=314, buffer_o=286, x_frozen=True, gap=0.1333, value_loss_o=0.8811, policy_loss_o=1.4814, value_error_vs_solver=0.7504 (X=0.6838, O=0.8171), elapsed=7.0s
iter    4/300: games={'X': 8, 'O': 11, 'draw': 1}, buffer_x=418, buffer_o=381, x_frozen=False, gap=0.0434, value_loss_o=0.8512, policy_loss_o=1.4693, value_error_vs_solver=0.7619 (X=0.7402, O=0.7836), elapsed=7.0s
iter    5/300: games={'X': 13, 'O': 7, 'draw': 0}, buffer_x=510, buffer_o=460, x_frozen=True, gap=0.1754, value_loss_o=0.7981, policy_loss_o=1.4545, value_error_vs_solver=0.8049 (X=0.7172, O=0.8926), elapsed=6.4s
iter    6/300: games={'X': 9, 'O': 10, 'draw': 1}, buffer_x=592, buffer_o=533, x_frozen=True, gap=0.0776, value_loss_o=0.7351, policy_loss_o=1.4953, value_error_vs_solver=0.7488 (X=0.7099, O=0.7876), elapsed=5.2s
iter    7/300: games={'X': 13, 'O': 7, 'draw': 0}, buffer_x=677, buffer_o=605, x_frozen=False, gap=-0.0630, value_loss_o=0.7321, policy_loss_o=1.4705, value_error_vs_solver=0.7665 (X=0.7980, O=0.7351), elapsed=5.2s
iter    8/300: games={'X': 13, 'O': 6, 'draw': 1}, buffer_x=760, buffer_o=674, x_frozen=False, gap=0.0165, value_loss_o=0.6969, policy_loss_o=1.4629, value_error_vs_solver=0.8031 (X=0.7949, O=0.8114), elapsed=5.4s
iter    9/300: games={'X': 14, 'O': 5, 'draw': 1}, buffer_x=844, buffer_o=743, x_frozen=True, gap=0.0743, value_loss_o=0.6653, policy_loss_o=1.4671, value_error_vs_solver=0.7254 (X=0.6883, O=0.7625), elapsed=4.8s
iter   10/300: games={'X': 12, 'O': 7, 'draw': 1}, buffer_x=942, buffer_o=829, x_frozen=False, gap=0.0249, value_loss_o=0.6620, policy_loss_o=1.4543, value_error_vs_solver=0.7779 (X=0.7655, O=0.7904), elapsed=6.7s
iter   11/300: games={'X': 13, 'O': 7, 'draw': 0}, buffer_x=1045, buffer_o=919, x_frozen=False, gap=-0.0330, value_loss_o=0.6693, policy_loss_o=1.4478, value_error_vs_solver=0.7553 (X=0.7718, O=0.7388), elapsed=5.8s
iter   12/300: games={'X': 8, 'O': 9, 'draw': 3}, buffer_x=1180, buffer_o=1045, x_frozen=False, gap=-0.0769, value_loss_o=0.6806, policy_loss_o=1.4177, value_error_vs_solver=0.6885 (X=0.7270, O=0.6501), elapsed=9.8s
iter   13/300: games={'X': 13, 'O': 6, 'draw': 1}, buffer_x=1279, buffer_o=1131, x_frozen=False, gap=-0.0716, value_loss_o=0.6749, policy_loss_o=1.4005, value_error_vs_solver=0.7103 (X=0.7461, O=0.6745), elapsed=6.3s
iter   14/300: games={'X': 9, 'O': 10, 'draw': 1}, buffer_x=1395, buffer_o=1238, x_frozen=False, gap=-0.0374, value_loss_o=0.6682, policy_loss_o=1.3879, value_error_vs_solver=0.7274 (X=0.7461, O=0.7087), elapsed=8.0s
iter   15/300: games={'X': 11, 'O': 9, 'draw': 0}, buffer_x=1509, buffer_o=1341, x_frozen=False, gap=-0.0880, value_loss_o=0.6711, policy_loss_o=1.3651, value_error_vs_solver=0.7234 (X=0.7674, O=0.6794), elapsed=6.9s
iter   16/300: games={'X': 12, 'O': 7, 'draw': 1}, buffer_x=1624, buffer_o=1443, x_frozen=False, gap=-0.0640, value_loss_o=0.6655, policy_loss_o=1.3466, value_error_vs_solver=0.6713 (X=0.7033, O=0.6393), elapsed=8.6s
iter   17/300: games={'X': 15, 'O': 5, 'draw': 0}, buffer_x=1696, buffer_o=1500, x_frozen=False, gap=-0.1359, value_loss_o=0.6492, policy_loss_o=1.3194, value_error_vs_solver=0.7015 (X=0.7694, O=0.6335), elapsed=4.8s
iter   18/300: games={'X': 11, 'O': 4, 'draw': 5}, buffer_x=1816, buffer_o=1608, x_frozen=False, gap=-0.1322, value_loss_o=0.6030, policy_loss_o=1.2818, value_error_vs_solver=0.7229 (X=0.7891, O=0.6568), elapsed=9.2s
iter   19/300: games={'X': 12, 'O': 3, 'draw': 5}, buffer_x=1952, buffer_o=1729, x_frozen=False, gap=0.0088, value_loss_o=0.5626, policy_loss_o=1.2622, value_error_vs_solver=0.6815 (X=0.6771, O=0.6859), elapsed=10.1s
iter   20/300: games={'X': 12, 'O': 4, 'draw': 4}, buffer_x=2057, buffer_o=1820, x_frozen=False, gap=-0.1772, value_loss_o=0.5647, policy_loss_o=1.2410, value_error_vs_solver=0.7075 (X=0.7961, O=0.6189), elapsed=7.8s
iter   21/300: games={'X': 9, 'O': 3, 'draw': 8}, buffer_x=2218, buffer_o=1969, x_frozen=False, gap=-0.1419, value_loss_o=0.5292, policy_loss_o=1.2010, value_error_vs_solver=0.6630 (X=0.7339, O=0.5921), elapsed=12.5s
iter   22/300: games={'X': 9, 'O': 3, 'draw': 8}, buffer_x=2370, buffer_o=2110, x_frozen=False, gap=-0.1435, value_loss_o=0.5005, policy_loss_o=1.1539, value_error_vs_solver=0.7066 (X=0.7783, O=0.6349), elapsed=11.6s
iter   23/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer_x=2474, buffer_o=2197, x_frozen=False, gap=-0.1017, value_loss_o=0.4884, policy_loss_o=1.1420, value_error_vs_solver=0.7027 (X=0.7536, O=0.6519), elapsed=6.0s
iter   24/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer_x=2613, buffer_o=2322, x_frozen=False, gap=-0.0306, value_loss_o=0.4642, policy_loss_o=1.1099, value_error_vs_solver=0.6550 (X=0.6703, O=0.6397), elapsed=9.3s
iter   25/300: games={'X': 9, 'O': 6, 'draw': 5}, buffer_x=2744, buffer_o=2444, x_frozen=False, gap=-0.0399, value_loss_o=0.4544, policy_loss_o=1.0834, value_error_vs_solver=0.6584 (X=0.6783, O=0.6384), elapsed=9.4s
iter   26/300: games={'X': 9, 'O': 7, 'draw': 4}, buffer_x=2880, buffer_o=2571, x_frozen=False, gap=-0.0623, value_loss_o=0.4440, policy_loss_o=1.0677, value_error_vs_solver=0.6731 (X=0.7042, O=0.6419), elapsed=10.5s
iter   27/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer_x=3000, buffer_o=2677, x_frozen=False, gap=-0.0032, value_loss_o=0.4300, policy_loss_o=1.0491, value_error_vs_solver=0.6415 (X=0.6432, O=0.6399), elapsed=8.7s
iter   28/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer_x=3124, buffer_o=2788, x_frozen=False, gap=-0.0441, value_loss_o=0.4135, policy_loss_o=1.0322, value_error_vs_solver=0.6340 (X=0.6560, O=0.6119), elapsed=9.1s
iter   29/300: games={'X': 7, 'O': 2, 'draw': 11}, buffer_x=3293, buffer_o=2946, x_frozen=False, gap=-0.0551, value_loss_o=0.4069, policy_loss_o=0.9937, value_error_vs_solver=0.6570 (X=0.6846, O=0.6295), elapsed=12.7s
iter   30/300: games={'X': 8, 'O': 0, 'draw': 12}, buffer_x=3455, buffer_o=3099, x_frozen=False, gap=-0.1063, value_loss_o=0.3785, policy_loss_o=0.9751, value_error_vs_solver=0.6301 (X=0.6833, O=0.5770), elapsed=11.4s
