Loading solver states for value-error benchmarking...
Run 'catchup_wr': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None, imitate_teacher_policy=False
iter    1/300: games={'X': 9, 'O': 11, 'draw': 0}, buffer_x=99, buffer_o=90, x_frozen=False, o_win_rate_rolling=0.5500, value_loss_o=1.4316, policy_loss_o=1.4899, value_error_vs_solver=0.6786 (X=0.6652, O=0.6920), elapsed=11.7s
iter    2/300: games={'X': 9, 'O': 11, 'draw': 0}, buffer_x=179, buffer_o=161, x_frozen=False, o_win_rate_rolling=0.5500, value_loss_o=1.2265, policy_loss_o=1.5718, value_error_vs_solver=0.7395 (X=0.7158, O=0.7631), elapsed=8.3s
iter    3/300: games={'X': 8, 'O': 11, 'draw': 1}, buffer_x=276, buffer_o=250, x_frozen=False, o_win_rate_rolling=0.5500, value_loss_o=1.0563, policy_loss_o=1.5120, value_error_vs_solver=0.7691 (X=0.7182, O=0.8201), elapsed=10.1s
iter    4/300: games={'X': 8, 'O': 12, 'draw': 0}, buffer_x=375, buffer_o=341, x_frozen=False, o_win_rate_rolling=0.5625, value_loss_o=0.9489, policy_loss_o=1.5031, value_error_vs_solver=0.7826 (X=0.7166, O=0.8487), elapsed=10.9s
iter    5/300: games={'X': 13, 'O': 7, 'draw': 0}, buffer_x=499, buffer_o=452, x_frozen=False, o_win_rate_rolling=0.5200, value_loss_o=0.8598, policy_loss_o=1.4491, value_error_vs_solver=0.8172 (X=0.7812, O=0.8533), elapsed=12.4s
iter    6/300: games={'X': 13, 'O': 7, 'draw': 0}, buffer_x=603, buffer_o=543, x_frozen=False, o_win_rate_rolling=0.4917, value_loss_o=0.8880, policy_loss_o=1.4774, value_error_vs_solver=0.7699 (X=0.7040, O=0.8359), elapsed=9.0s
iter    7/300: games={'X': 14, 'O': 4, 'draw': 2}, buffer_x=710, buffer_o=635, x_frozen=False, o_win_rate_rolling=0.4500, value_loss_o=0.8318, policy_loss_o=1.4671, value_error_vs_solver=0.7944 (X=0.7416, O=0.8471), elapsed=9.8s
iter    8/300: games={'X': 12, 'O': 7, 'draw': 1}, buffer_x=809, buffer_o=721, x_frozen=False, o_win_rate_rolling=0.4375, value_loss_o=0.7907, policy_loss_o=1.4667, value_error_vs_solver=0.8035 (X=0.7073, O=0.8997), elapsed=8.6s
iter    9/300: games={'X': 13, 'O': 6, 'draw': 1}, buffer_x=919, buffer_o=817, x_frozen=False, o_win_rate_rolling=0.4222, value_loss_o=0.7607, policy_loss_o=1.4328, value_error_vs_solver=0.7411 (X=0.6702, O=0.8120), elapsed=10.1s
iter   10/300: games={'X': 14, 'O': 5, 'draw': 1}, buffer_x=1043, buffer_o=926, x_frozen=False, o_win_rate_rolling=0.4050, value_loss_o=0.7473, policy_loss_o=1.4098, value_error_vs_solver=0.7467 (X=0.6144, O=0.8789), elapsed=12.3s
iter   11/300: games={'X': 14, 'O': 6, 'draw': 0}, buffer_x=1174, buffer_o=1043, x_frozen=False, o_win_rate_rolling=0.3800, value_loss_o=0.7515, policy_loss_o=1.3739, value_error_vs_solver=0.7074 (X=0.6430, O=0.7718), elapsed=11.1s
iter   12/300: games={'X': 12, 'O': 5, 'draw': 3}, buffer_x=1289, buffer_o=1143, x_frozen=False, o_win_rate_rolling=0.3500, value_loss_o=0.7241, policy_loss_o=1.3485, value_error_vs_solver=0.7789 (X=0.7219, O=0.8360), elapsed=10.6s
iter   13/300: games={'X': 13, 'O': 6, 'draw': 1}, buffer_x=1405, buffer_o=1245, x_frozen=False, o_win_rate_rolling=0.3250, value_loss_o=0.7260, policy_loss_o=1.3264, value_error_vs_solver=0.7426 (X=0.6797, O=0.8055), elapsed=9.5s
iter   14/300: games={'X': 11, 'O': 5, 'draw': 4}, buffer_x=1546, buffer_o=1372, x_frozen=False, o_win_rate_rolling=0.2900, value_loss_o=0.7034, policy_loss_o=1.2955, value_error_vs_solver=0.7425 (X=0.6762, O=0.8088), elapsed=16.2s
iter   15/300: games={'X': 12, 'O': 4, 'draw': 4}, buffer_x=1675, buffer_o=1486, x_frozen=False, o_win_rate_rolling=0.2750, value_loss_o=0.6660, policy_loss_o=1.2621, value_error_vs_solver=0.7194 (X=0.6999, O=0.7390), elapsed=10.0s
iter   16/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer_x=1774, buffer_o=1568, x_frozen=False, o_win_rate_rolling=0.2550, value_loss_o=0.6495, policy_loss_o=1.2419, value_error_vs_solver=0.7506 (X=0.6961, O=0.8051), elapsed=6.9s
iter   17/300: games={'X': 11, 'O': 5, 'draw': 4}, buffer_x=1889, buffer_o=1669, x_frozen=False, o_win_rate_rolling=0.2600, value_loss_o=0.6232, policy_loss_o=1.2095, value_error_vs_solver=0.6905 (X=0.6763, O=0.7047), elapsed=9.3s
iter   18/300: games={'X': 14, 'O': 3, 'draw': 3}, buffer_x=2002, buffer_o=1768, x_frozen=False, o_win_rate_rolling=0.2400, value_loss_o=0.6043, policy_loss_o=1.1992, value_error_vs_solver=0.6945 (X=0.6294, O=0.7597), elapsed=8.6s
iter   19/300: games={'X': 11, 'O': 4, 'draw': 5}, buffer_x=2126, buffer_o=1879, x_frozen=False, o_win_rate_rolling=0.2300, value_loss_o=0.5812, policy_loss_o=1.1794, value_error_vs_solver=0.6993 (X=0.6658, O=0.7327), elapsed=8.2s
