Loading solver states for value-error benchmarking...
Run 'exploration': iterations=300, temperature_moves=20, noise_frac=0.4, teacher_side=None
iter    1/300: games={'X': 10, 'O': 9, 'draw': 1}, buffer=193, value_loss=1.1096, policy_loss=1.6263, value_error_vs_solver=0.7259 (X=0.6988, O=0.7218), elapsed=5.4s
iter    2/300: games={'X': 11, 'O': 7, 'draw': 2}, buffer=420, value_loss=0.8948, policy_loss=1.6361, value_error_vs_solver=0.7984 (X=0.8299, O=0.7675), elapsed=5.4s
iter    3/300: games={'X': 8, 'O': 12, 'draw': 0}, buffer=642, value_loss=0.9116, policy_loss=1.6315, value_error_vs_solver=0.7705 (X=0.7757, O=0.8018), elapsed=5.8s
iter    4/300: games={'X': 12, 'O': 8, 'draw': 0}, buffer=812, value_loss=0.9068, policy_loss=1.6012, value_error_vs_solver=0.7292 (X=0.7001, O=0.7555), elapsed=4.0s
iter    5/300: games={'X': 9, 'O': 10, 'draw': 1}, buffer=995, value_loss=0.8416, policy_loss=1.5940, value_error_vs_solver=0.7591 (X=0.7281, O=0.7736), elapsed=5.3s
iter    6/300: games={'X': 7, 'O': 13, 'draw': 0}, buffer=1228, value_loss=0.8698, policy_loss=1.5741, value_error_vs_solver=0.7468 (X=0.7056, O=0.7496), elapsed=5.6s
iter    7/300: games={'X': 7, 'O': 11, 'draw': 2}, buffer=1513, value_loss=0.8383, policy_loss=1.5498, value_error_vs_solver=0.7290 (X=0.7452, O=0.7672), elapsed=9.4s
iter    8/300: games={'X': 14, 'O': 6, 'draw': 0}, buffer=1665, value_loss=0.7996, policy_loss=1.5385, value_error_vs_solver=0.7135 (X=0.6614, O=0.6496), elapsed=4.9s
iter    9/300: games={'X': 9, 'O': 10, 'draw': 1}, buffer=1856, value_loss=0.7925, policy_loss=1.5215, value_error_vs_solver=0.7070 (X=0.7109, O=0.7479), elapsed=4.1s
iter   10/300: games={'X': 12, 'O': 7, 'draw': 1}, buffer=2054, value_loss=0.7990, policy_loss=1.5188, value_error_vs_solver=0.6734 (X=0.6797, O=0.6969), elapsed=5.2s
iter   11/300: games={'X': 9, 'O': 10, 'draw': 1}, buffer=2279, value_loss=0.7827, policy_loss=1.5088, value_error_vs_solver=0.6852 (X=0.7200, O=0.6883), elapsed=5.8s
iter   12/300: games={'X': 10, 'O': 8, 'draw': 2}, buffer=2513, value_loss=0.7683, policy_loss=1.4904, value_error_vs_solver=0.7044 (X=0.7084, O=0.6769), elapsed=6.2s
iter   13/300: games={'X': 9, 'O': 8, 'draw': 3}, buffer=2768, value_loss=0.7622, policy_loss=1.4765, value_error_vs_solver=0.6328 (X=0.6494, O=0.6858), elapsed=6.4s
iter   14/300: games={'X': 11, 'O': 8, 'draw': 1}, buffer=2990, value_loss=0.7379, policy_loss=1.4620, value_error_vs_solver=0.6635 (X=0.6567, O=0.6749), elapsed=5.4s
iter   15/300: games={'X': 10, 'O': 9, 'draw': 1}, buffer=3227, value_loss=0.7458, policy_loss=1.4407, value_error_vs_solver=0.6665 (X=0.6758, O=0.7053), elapsed=5.7s
iter   16/300: games={'X': 10, 'O': 9, 'draw': 1}, buffer=3446, value_loss=0.7384, policy_loss=1.4109, value_error_vs_solver=0.6485 (X=0.6675, O=0.6928), elapsed=5.4s
iter   17/300: games={'X': 11, 'O': 5, 'draw': 4}, buffer=3691, value_loss=0.7132, policy_loss=1.3869, value_error_vs_solver=0.6575 (X=0.5916, O=0.6369), elapsed=6.7s
iter   18/300: games={'X': 10, 'O': 6, 'draw': 4}, buffer=3983, value_loss=0.6773, policy_loss=1.3604, value_error_vs_solver=0.6110 (X=0.6208, O=0.6493), elapsed=8.0s
iter   19/300: games={'X': 7, 'O': 10, 'draw': 3}, buffer=4250, value_loss=0.6844, policy_loss=1.3353, value_error_vs_solver=0.6533 (X=0.6078, O=0.6061), elapsed=7.1s
iter   20/300: games={'X': 9, 'O': 8, 'draw': 3}, buffer=4494, value_loss=0.6707, policy_loss=1.3187, value_error_vs_solver=0.6552 (X=0.6202, O=0.6034), elapsed=5.9s
iter   21/300: games={'X': 9, 'O': 7, 'draw': 4}, buffer=4768, value_loss=0.6474, policy_loss=1.2924, value_error_vs_solver=0.6562 (X=0.6932, O=0.6439), elapsed=9.5s
iter   22/300: games={'X': 14, 'O': 4, 'draw': 2}, buffer=4973, value_loss=0.6450, policy_loss=1.2811, value_error_vs_solver=0.6266 (X=0.6276, O=0.6536), elapsed=6.2s
iter   23/300: games={'X': 8, 'O': 6, 'draw': 6}, buffer=5282, value_loss=0.6182, policy_loss=1.2597, value_error_vs_solver=0.5998 (X=0.5942, O=0.6532), elapsed=9.5s
iter   24/300: games={'X': 14, 'O': 4, 'draw': 2}, buffer=5523, value_loss=0.6044, policy_loss=1.2497, value_error_vs_solver=0.6343 (X=0.6458, O=0.6053), elapsed=7.6s
iter   25/300: games={'X': 11, 'O': 5, 'draw': 4}, buffer=5776, value_loss=0.5955, policy_loss=1.2292, value_error_vs_solver=0.6332 (X=0.6664, O=0.6623), elapsed=7.0s
iter   26/300: games={'X': 12, 'O': 4, 'draw': 4}, buffer=6016, value_loss=0.5701, policy_loss=1.2124, value_error_vs_solver=0.6056 (X=0.6599, O=0.5852), elapsed=6.5s
iter   27/300: games={'X': 14, 'O': 4, 'draw': 2}, buffer=6237, value_loss=0.5685, policy_loss=1.2047, value_error_vs_solver=0.6268 (X=0.6002, O=0.5992), elapsed=5.0s
iter   28/300: games={'X': 12, 'O': 5, 'draw': 3}, buffer=6529, value_loss=0.5710, policy_loss=1.1955, value_error_vs_solver=0.5388 (X=0.6262, O=0.5252), elapsed=7.1s
iter   29/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=6739, value_loss=0.5525, policy_loss=1.1875, value_error_vs_solver=0.5709 (X=0.5872, O=0.6315), elapsed=4.9s
iter   30/300: games={'X': 12, 'O': 6, 'draw': 2}, buffer=6983, value_loss=0.5526, policy_loss=1.1716, value_error_vs_solver=0.6374 (X=0.5786, O=0.6353), elapsed=5.9s
iter   31/300: games={'X': 14, 'O': 5, 'draw': 1}, buffer=7185, value_loss=0.5496, policy_loss=1.1809, value_error_vs_solver=0.5724 (X=0.5522, O=0.6082), elapsed=5.2s
iter   32/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=7361, value_loss=0.5436, policy_loss=1.1631, value_error_vs_solver=0.5993 (X=0.6503, O=0.5793), elapsed=4.0s
iter   33/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer=7605, value_loss=0.5316, policy_loss=1.1533, value_error_vs_solver=0.5812 (X=0.5413, O=0.5745), elapsed=5.2s
iter   34/300: games={'X': 13, 'O': 6, 'draw': 1}, buffer=7790, value_loss=0.5418, policy_loss=1.1471, value_error_vs_solver=0.5600 (X=0.5902, O=0.5865), elapsed=4.7s
iter   35/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=7995, value_loss=0.5321, policy_loss=1.1464, value_error_vs_solver=0.5505 (X=0.6253, O=0.5557), elapsed=4.1s
iter   36/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.5138, policy_loss=1.1206, value_error_vs_solver=0.5566 (X=0.5776, O=0.4955), elapsed=4.8s
iter   37/300: games={'X': 17, 'O': 3, 'draw': 0}, buffer=8000, value_loss=0.5108, policy_loss=1.1104, value_error_vs_solver=0.5415 (X=0.5320, O=0.5394), elapsed=3.1s
iter   38/300: games={'X': 14, 'O': 5, 'draw': 1}, buffer=8000, value_loss=0.5110, policy_loss=1.0952, value_error_vs_solver=0.5657 (X=0.5461, O=0.5138), elapsed=5.9s
iter   39/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.5003, policy_loss=1.0873, value_error_vs_solver=0.5941 (X=0.5422, O=0.5350), elapsed=3.6s
iter   40/300: games={'X': 12, 'O': 3, 'draw': 5}, buffer=8000, value_loss=0.4710, policy_loss=1.0504, value_error_vs_solver=0.5451 (X=0.5262, O=0.5168), elapsed=9.0s
iter   41/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.4762, policy_loss=1.0459, value_error_vs_solver=0.5026 (X=0.5988, O=0.4813), elapsed=3.7s
iter   42/300: games={'X': 12, 'O': 4, 'draw': 4}, buffer=8000, value_loss=0.4611, policy_loss=1.0277, value_error_vs_solver=0.5262 (X=0.5332, O=0.5527), elapsed=7.0s
iter   43/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer=8000, value_loss=0.4406, policy_loss=1.0089, value_error_vs_solver=0.4893 (X=0.5445, O=0.5406), elapsed=6.4s
iter   44/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.4318, policy_loss=1.0038, value_error_vs_solver=0.5315 (X=0.4439, O=0.4834), elapsed=3.8s
iter   45/300: games={'X': 17, 'O': 3, 'draw': 0}, buffer=8000, value_loss=0.4314, policy_loss=0.9976, value_error_vs_solver=0.4880 (X=0.4683, O=0.4674), elapsed=2.7s
iter   46/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.4235, policy_loss=0.9943, value_error_vs_solver=0.4473 (X=0.4821, O=0.4765), elapsed=2.8s
