Loading solver states for value-error benchmarking...
Run 'imitate': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=2, extra_iterations_side=None, imitate_teacher_policy=True
iter    1/300: games={'X': 0, 'O': 15, 'draw': 5}, buffer=280, value_loss=1.1477, policy_loss=0.6749, value_error_vs_solver=0.6648 (X=0.6644, O=0.6630), elapsed=13.2s
iter    2/300: games={'X': 0, 'O': 12, 'draw': 8}, buffer=534, value_loss=0.7594, policy_loss=0.6874, value_error_vs_solver=0.7753 (X=0.7786, O=0.7851), elapsed=11.6s
iter    3/300: games={'X': 0, 'O': 18, 'draw': 2}, buffer=747, value_loss=0.6710, policy_loss=0.6924, value_error_vs_solver=0.7933 (X=0.8365, O=0.7704), elapsed=9.4s
iter    4/300: games={'X': 0, 'O': 14, 'draw': 6}, buffer=1097, value_loss=0.4809, policy_loss=0.7041, value_error_vs_solver=0.7264 (X=0.6522, O=0.6985), elapsed=17.1s
iter    5/300: games={'X': 3, 'O': 10, 'draw': 7}, buffer=1340, value_loss=0.4098, policy_loss=0.6598, value_error_vs_solver=0.7555 (X=0.7472, O=0.8075), elapsed=11.4s
iter    6/300: games={'X': 6, 'O': 10, 'draw': 4}, buffer=1571, value_loss=0.4142, policy_loss=0.6587, value_error_vs_solver=0.6755 (X=0.7188, O=0.7139), elapsed=11.7s
iter    7/300: games={'X': 1, 'O': 14, 'draw': 5}, buffer=1829, value_loss=0.4059, policy_loss=0.6215, value_error_vs_solver=0.7000 (X=0.7020, O=0.7580), elapsed=11.6s
iter    8/300: games={'X': 4, 'O': 8, 'draw': 8}, buffer=2111, value_loss=0.3633, policy_loss=0.6117, value_error_vs_solver=0.6801 (X=0.7356, O=0.7195), elapsed=14.9s
iter    9/300: games={'X': 4, 'O': 7, 'draw': 9}, buffer=2390, value_loss=0.3394, policy_loss=0.5789, value_error_vs_solver=0.7073 (X=0.6577, O=0.7202), elapsed=16.4s
iter   10/300: games={'X': 10, 'O': 2, 'draw': 8}, buffer=2653, value_loss=0.3097, policy_loss=0.5512, value_error_vs_solver=0.6920 (X=0.7201, O=0.7206), elapsed=11.5s
iter   11/300: games={'X': 9, 'O': 4, 'draw': 7}, buffer=2871, value_loss=0.3076, policy_loss=0.5266, value_error_vs_solver=0.6574 (X=0.6351, O=0.6595), elapsed=8.9s
iter   12/300: games={'X': 12, 'O': 4, 'draw': 4}, buffer=3055, value_loss=0.3026, policy_loss=0.4978, value_error_vs_solver=0.6443 (X=0.6797, O=0.6531), elapsed=7.2s
iter   13/300: games={'X': 14, 'O': 2, 'draw': 4}, buffer=3225, value_loss=0.2898, policy_loss=0.4889, value_error_vs_solver=0.7284 (X=0.7950, O=0.7007), elapsed=8.5s
iter   14/300: games={'X': 8, 'O': 3, 'draw': 9}, buffer=3466, value_loss=0.2765, policy_loss=0.4640, value_error_vs_solver=0.6289 (X=0.6633, O=0.6599), elapsed=11.1s
iter   15/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer=3657, value_loss=0.2648, policy_loss=0.4487, value_error_vs_solver=0.6411 (X=0.5904, O=0.6311), elapsed=10.7s
iter   16/300: games={'X': 11, 'O': 5, 'draw': 4}, buffer=3847, value_loss=0.2690, policy_loss=0.4338, value_error_vs_solver=0.6614 (X=0.6669, O=0.6464), elapsed=8.7s
iter   17/300: games={'X': 15, 'O': 4, 'draw': 1}, buffer=3999, value_loss=0.2721, policy_loss=0.4236, value_error_vs_solver=0.6513 (X=0.6327, O=0.6678), elapsed=7.6s
iter   18/300: games={'X': 12, 'O': 5, 'draw': 3}, buffer=4186, value_loss=0.2621, policy_loss=0.4180, value_error_vs_solver=0.6129 (X=0.5722, O=0.5555), elapsed=8.2s
iter   19/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=4351, value_loss=0.2589, policy_loss=0.4061, value_error_vs_solver=0.6138 (X=0.6846, O=0.6047), elapsed=7.9s
iter   20/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=4523, value_loss=0.2536, policy_loss=0.3945, value_error_vs_solver=0.6112 (X=0.6559, O=0.6684), elapsed=8.9s
iter   21/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer=4692, value_loss=0.2518, policy_loss=0.3838, value_error_vs_solver=0.6093 (X=0.6148, O=0.6034), elapsed=7.6s
iter   22/300: games={'X': 15, 'O': 0, 'draw': 5}, buffer=4896, value_loss=0.2480, policy_loss=0.3783, value_error_vs_solver=0.6292 (X=0.6273, O=0.6915), elapsed=10.1s
iter   23/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=5108, value_loss=0.2456, policy_loss=0.3672, value_error_vs_solver=0.6674 (X=0.5794, O=0.6333), elapsed=9.9s
iter   24/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=5276, value_loss=0.2325, policy_loss=0.3583, value_error_vs_solver=0.5615 (X=0.6032, O=0.6313), elapsed=7.8s
