Loading solver states for value-error benchmarking...
Run 'o_compute': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=2
iter    1/300: games={'X': 9, 'O': 9, 'draw': 2}, buffer=227, value_loss=1.0577, policy_loss=1.5863, value_error_vs_solver=0.6707 (X=0.6132, O=0.6531), elapsed=9.8s
iter    2/300: games={'X': 6, 'O': 11, 'draw': 3}, buffer=512, value_loss=0.8611, policy_loss=1.5700, value_error_vs_solver=0.8081 (X=0.7686, O=0.8128), elapsed=14.2s
iter    3/300: games={'X': 2, 'O': 14, 'draw': 4}, buffer=768, value_loss=0.7533, policy_loss=1.5402, value_error_vs_solver=0.7593 (X=0.7303, O=0.7428), elapsed=15.0s
iter    4/300: games={'X': 4, 'O': 13, 'draw': 3}, buffer=1040, value_loss=0.6624, policy_loss=1.4860, value_error_vs_solver=0.7348 (X=0.7291, O=0.7779), elapsed=16.2s
iter    5/300: games={'X': 4, 'O': 13, 'draw': 3}, buffer=1237, value_loss=0.6316, policy_loss=1.4776, value_error_vs_solver=0.7047 (X=0.7440, O=0.7202), elapsed=11.2s
iter    6/300: games={'X': 4, 'O': 11, 'draw': 5}, buffer=1485, value_loss=0.5624, policy_loss=1.4393, value_error_vs_solver=0.6951 (X=0.8104, O=0.7601), elapsed=16.0s
iter    7/300: games={'X': 5, 'O': 8, 'draw': 7}, buffer=1768, value_loss=0.5176, policy_loss=1.3949, value_error_vs_solver=0.7032 (X=0.6715, O=0.6589), elapsed=17.2s
iter    8/300: games={'X': 6, 'O': 7, 'draw': 7}, buffer=2041, value_loss=0.4995, policy_loss=1.3548, value_error_vs_solver=0.6914 (X=0.6961, O=0.6933), elapsed=17.2s
iter    9/300: games={'X': 9, 'O': 4, 'draw': 7}, buffer=2309, value_loss=0.4652, policy_loss=1.2937, value_error_vs_solver=0.7042 (X=0.6735, O=0.6742), elapsed=14.7s
iter   10/300: games={'X': 8, 'O': 5, 'draw': 7}, buffer=2573, value_loss=0.4268, policy_loss=1.2308, value_error_vs_solver=0.6893 (X=0.6928, O=0.7006), elapsed=15.2s
iter   11/300: games={'X': 6, 'O': 6, 'draw': 8}, buffer=2859, value_loss=0.3957, policy_loss=1.1821, value_error_vs_solver=0.6809 (X=0.6267, O=0.6560), elapsed=15.3s
iter   12/300: games={'X': 5, 'O': 5, 'draw': 10}, buffer=3158, value_loss=0.3757, policy_loss=1.1234, value_error_vs_solver=0.6931 (X=0.6430, O=0.6329), elapsed=17.3s
iter   13/300: games={'X': 5, 'O': 8, 'draw': 7}, buffer=3418, value_loss=0.3587, policy_loss=1.0859, value_error_vs_solver=0.6321 (X=0.6748, O=0.6503), elapsed=16.6s
iter   14/300: games={'X': 6, 'O': 4, 'draw': 10}, buffer=3726, value_loss=0.3412, policy_loss=1.0438, value_error_vs_solver=0.6593 (X=0.6331, O=0.6127), elapsed=18.7s
iter   15/300: games={'X': 4, 'O': 8, 'draw': 8}, buffer=3998, value_loss=0.3239, policy_loss=0.9935, value_error_vs_solver=0.6434 (X=0.6638, O=0.6303), elapsed=15.2s
iter   16/300: games={'X': 5, 'O': 6, 'draw': 9}, buffer=4294, value_loss=0.3219, policy_loss=0.9725, value_error_vs_solver=0.6635 (X=0.6565, O=0.6540), elapsed=15.8s
iter   17/300: games={'X': 9, 'O': 3, 'draw': 8}, buffer=4561, value_loss=0.3036, policy_loss=0.9248, value_error_vs_solver=0.6168 (X=0.7198, O=0.5889), elapsed=13.4s
iter   18/300: games={'X': 8, 'O': 2, 'draw': 10}, buffer=4864, value_loss=0.3028, policy_loss=0.9005, value_error_vs_solver=0.6526 (X=0.6134, O=0.5909), elapsed=13.8s
iter   19/300: games={'X': 8, 'O': 4, 'draw': 8}, buffer=5122, value_loss=0.2925, policy_loss=0.8796, value_error_vs_solver=0.5890 (X=0.6607, O=0.5777), elapsed=11.5s
iter   20/300: games={'X': 13, 'O': 1, 'draw': 6}, buffer=5342, value_loss=0.2787, policy_loss=0.8553, value_error_vs_solver=0.5983 (X=0.6263, O=0.5613), elapsed=10.3s
iter   21/300: games={'X': 3, 'O': 4, 'draw': 13}, buffer=5666, value_loss=0.2770, policy_loss=0.8286, value_error_vs_solver=0.6172 (X=0.6190, O=0.5680), elapsed=14.3s
iter   22/300: games={'X': 5, 'O': 5, 'draw': 10}, buffer=5969, value_loss=0.2733, policy_loss=0.8168, value_error_vs_solver=0.5969 (X=0.5926, O=0.5180), elapsed=13.9s
iter   23/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer=6210, value_loss=0.2792, policy_loss=0.8093, value_error_vs_solver=0.6032 (X=0.6401, O=0.5663), elapsed=12.4s
iter   24/300: games={'X': 8, 'O': 2, 'draw': 10}, buffer=6481, value_loss=0.2580, policy_loss=0.7865, value_error_vs_solver=0.5938 (X=0.6300, O=0.5648), elapsed=13.1s
iter   25/300: games={'X': 12, 'O': 1, 'draw': 7}, buffer=6738, value_loss=0.2541, policy_loss=0.7734, value_error_vs_solver=0.5953 (X=0.5920, O=0.5889), elapsed=12.0s
iter   26/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer=6932, value_loss=0.2683, policy_loss=0.7878, value_error_vs_solver=0.5671 (X=0.5930, O=0.5547), elapsed=7.5s
iter   27/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=7111, value_loss=0.2570, policy_loss=0.7804, value_error_vs_solver=0.5255 (X=0.5470, O=0.5221), elapsed=7.4s
iter   28/300: games={'X': 11, 'O': 6, 'draw': 3}, buffer=7278, value_loss=0.2564, policy_loss=0.7745, value_error_vs_solver=0.5616 (X=0.6021, O=0.5149), elapsed=7.0s
iter   29/300: games={'X': 13, 'O': 0, 'draw': 7}, buffer=7517, value_loss=0.2647, policy_loss=0.7715, value_error_vs_solver=0.6034 (X=0.5781, O=0.4898), elapsed=9.2s
iter   30/300: games={'X': 12, 'O': 0, 'draw': 8}, buffer=7780, value_loss=0.2557, policy_loss=0.7558, value_error_vs_solver=0.5839 (X=0.6086, O=0.5239), elapsed=12.1s
iter   31/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=7951, value_loss=0.2500, policy_loss=0.7569, value_error_vs_solver=0.5228 (X=0.7043, O=0.5130), elapsed=6.9s
iter   32/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.2455, policy_loss=0.7391, value_error_vs_solver=0.5254 (X=0.5052, O=0.5017), elapsed=7.1s
iter   33/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.2345, policy_loss=0.7353, value_error_vs_solver=0.5504 (X=0.5369, O=0.5281), elapsed=6.6s
iter   34/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.2257, policy_loss=0.7090, value_error_vs_solver=0.5631 (X=0.5410, O=0.4987), elapsed=7.8s
iter   35/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.2227, policy_loss=0.6861, value_error_vs_solver=0.5644 (X=0.5966, O=0.4963), elapsed=7.4s
iter   36/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.2184, policy_loss=0.6760, value_error_vs_solver=0.5091 (X=0.5393, O=0.4914), elapsed=4.9s
iter   37/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.2080, policy_loss=0.6666, value_error_vs_solver=0.5093 (X=0.4979, O=0.5020), elapsed=5.5s
iter   38/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.2026, policy_loss=0.6500, value_error_vs_solver=0.5252 (X=0.5253, O=0.5123), elapsed=4.9s
iter   39/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.1942, policy_loss=0.6364, value_error_vs_solver=0.4909 (X=0.5420, O=0.4710), elapsed=6.0s
iter   40/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.1972, policy_loss=0.6088, value_error_vs_solver=0.4450 (X=0.5006, O=0.5157), elapsed=4.9s
iter   41/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1863, policy_loss=0.6099, value_error_vs_solver=0.4985 (X=0.5262, O=0.5193), elapsed=5.9s
iter   42/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.1882, policy_loss=0.6151, value_error_vs_solver=0.5073 (X=0.4958, O=0.4974), elapsed=7.0s
iter   43/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1841, policy_loss=0.6002, value_error_vs_solver=0.4435 (X=0.4865, O=0.4445), elapsed=5.5s
iter   44/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1715, policy_loss=0.5965, value_error_vs_solver=0.4542 (X=0.5026, O=0.4085), elapsed=5.8s
iter   45/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1700, policy_loss=0.5959, value_error_vs_solver=0.4551 (X=0.3998, O=0.4100), elapsed=4.8s
iter   46/300: games={'X': 16, 'O': 3, 'draw': 1}, buffer=8000, value_loss=0.1768, policy_loss=0.5991, value_error_vs_solver=0.4779 (X=0.5032, O=0.4532), elapsed=5.5s
iter   47/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.1752, policy_loss=0.6017, value_error_vs_solver=0.5260 (X=0.4717, O=0.4689), elapsed=5.0s
iter   48/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.1688, policy_loss=0.5875, value_error_vs_solver=0.5010 (X=0.5747, O=0.4410), elapsed=6.5s
iter   49/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.1702, policy_loss=0.5906, value_error_vs_solver=0.4503 (X=0.5080, O=0.4643), elapsed=5.9s
iter   50/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1739, policy_loss=0.5991, value_error_vs_solver=0.4255 (X=0.3828, O=0.4220), elapsed=6.0s
iter   51/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.1710, policy_loss=0.5984, value_error_vs_solver=0.4555 (X=0.4614, O=0.4202), elapsed=5.1s
iter   52/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1644, policy_loss=0.6048, value_error_vs_solver=0.4487 (X=0.4818, O=0.4016), elapsed=4.5s
iter   53/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1602, policy_loss=0.6026, value_error_vs_solver=0.4768 (X=0.5307, O=0.4004), elapsed=4.6s
iter   54/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1573, policy_loss=0.6093, value_error_vs_solver=0.4543 (X=0.5031, O=0.4322), elapsed=5.8s
iter   55/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1534, policy_loss=0.6106, value_error_vs_solver=0.4268 (X=0.4564, O=0.4499), elapsed=4.9s
iter   56/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1510, policy_loss=0.6208, value_error_vs_solver=0.4480 (X=0.4384, O=0.3866), elapsed=5.7s
iter   57/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1487, policy_loss=0.6107, value_error_vs_solver=0.4374 (X=0.5154, O=0.3588), elapsed=5.5s
iter   58/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1306, policy_loss=0.6190, value_error_vs_solver=0.4487 (X=0.4732, O=0.4406), elapsed=4.2s
iter   59/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1339, policy_loss=0.6236, value_error_vs_solver=0.4421 (X=0.4741, O=0.3971), elapsed=4.9s
iter   60/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.1361, policy_loss=0.6221, value_error_vs_solver=0.4543 (X=0.4219, O=0.4210), elapsed=4.7s
iter   61/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1344, policy_loss=0.6299, value_error_vs_solver=0.3942 (X=0.4699, O=0.4551), elapsed=3.9s
iter   62/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1293, policy_loss=0.6293, value_error_vs_solver=0.4486 (X=0.4509, O=0.4300), elapsed=4.1s
iter   63/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1304, policy_loss=0.6366, value_error_vs_solver=0.4313 (X=0.4506, O=0.4037), elapsed=3.4s
iter   64/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1184, policy_loss=0.6455, value_error_vs_solver=0.3814 (X=0.4293, O=0.4330), elapsed=4.4s
iter   65/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1181, policy_loss=0.6502, value_error_vs_solver=0.3686 (X=0.4870, O=0.4581), elapsed=3.7s
iter   66/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1158, policy_loss=0.6410, value_error_vs_solver=0.4203 (X=0.4123, O=0.4899), elapsed=3.9s
iter   67/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.1189, policy_loss=0.6623, value_error_vs_solver=0.3926 (X=0.4514, O=0.4764), elapsed=4.2s
iter   68/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1155, policy_loss=0.6524, value_error_vs_solver=0.4451 (X=0.4842, O=0.4462), elapsed=4.4s
iter   69/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1153, policy_loss=0.6525, value_error_vs_solver=0.4249 (X=0.4418, O=0.3410), elapsed=4.4s
