Loading solver states for value-error benchmarking...
iter    1/300: games={'X': 1, 'O': 19, 'draw': 0}, buffer=217, value_loss=1.2414, policy_loss=1.5580, value_error_vs_solver=0.6968 (X=0.7077, O=0.7308), elapsed=3.7s
iter    2/300: games={'X': 0, 'O': 19, 'draw': 1}, buffer=463, value_loss=1.1119, policy_loss=1.5050, value_error_vs_solver=0.6842 (X=0.7406, O=0.7553), elapsed=5.2s
iter    3/300: games={'X': 1, 'O': 16, 'draw': 3}, buffer=697, value_loss=0.8593, policy_loss=1.4824, value_error_vs_solver=0.7410 (X=0.8377, O=0.7273), elapsed=4.2s
iter    4/300: games={'X': 0, 'O': 13, 'draw': 7}, buffer=1072, value_loss=0.5482, policy_loss=1.4300, value_error_vs_solver=0.7698 (X=0.7327, O=0.7499), elapsed=6.6s
iter    5/300: games={'X': 0, 'O': 19, 'draw': 1}, buffer=1308, value_loss=0.5762, policy_loss=1.4228, value_error_vs_solver=0.7166 (X=0.6730, O=0.7375), elapsed=4.4s
iter    6/300: games={'X': 4, 'O': 12, 'draw': 4}, buffer=1551, value_loss=0.5130, policy_loss=1.3736, value_error_vs_solver=0.7446 (X=0.6804, O=0.7296), elapsed=4.4s
iter    7/300: games={'X': 4, 'O': 14, 'draw': 2}, buffer=1740, value_loss=0.4803, policy_loss=1.3525, value_error_vs_solver=0.6925 (X=0.6884, O=0.6704), elapsed=3.4s
iter    8/300: games={'X': 0, 'O': 18, 'draw': 2}, buffer=2037, value_loss=0.5042, policy_loss=1.3429, value_error_vs_solver=0.7434 (X=0.6674, O=0.6877), elapsed=6.2s
iter    9/300: games={'X': 7, 'O': 3, 'draw': 10}, buffer=2526, value_loss=0.3964, policy_loss=1.2488, value_error_vs_solver=0.6499 (X=0.7226, O=0.6532), elapsed=12.3s
iter   10/300: games={'X': 7, 'O': 8, 'draw': 5}, buffer=2810, value_loss=0.3624, policy_loss=1.2138, value_error_vs_solver=0.6850 (X=0.6701, O=0.6921), elapsed=6.4s
iter   11/300: games={'X': 12, 'O': 4, 'draw': 4}, buffer=3080, value_loss=0.3482, policy_loss=1.1394, value_error_vs_solver=0.6568 (X=0.6458, O=0.6318), elapsed=6.1s
iter   12/300: games={'X': 14, 'O': 4, 'draw': 2}, buffer=3278, value_loss=0.3420, policy_loss=1.1071, value_error_vs_solver=0.6850 (X=0.7271, O=0.6618), elapsed=4.2s
iter   13/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer=3521, value_loss=0.3280, policy_loss=1.0808, value_error_vs_solver=0.6131 (X=0.6696, O=0.6033), elapsed=6.2s
iter   14/300: games={'X': 12, 'O': 4, 'draw': 4}, buffer=3729, value_loss=0.3269, policy_loss=1.0247, value_error_vs_solver=0.6331 (X=0.6074, O=0.6472), elapsed=4.1s
iter   15/300: games={'X': 11, 'O': 4, 'draw': 5}, buffer=3963, value_loss=0.3060, policy_loss=1.0100, value_error_vs_solver=0.5987 (X=0.6212, O=0.5673), elapsed=4.8s
iter   16/300: games={'X': 10, 'O': 1, 'draw': 9}, buffer=4219, value_loss=0.2993, policy_loss=0.9983, value_error_vs_solver=0.6505 (X=0.6208, O=0.6450), elapsed=4.9s
iter   17/300: games={'X': 13, 'O': 5, 'draw': 2}, buffer=4422, value_loss=0.3019, policy_loss=0.9770, value_error_vs_solver=0.6783 (X=0.7259, O=0.6149), elapsed=3.6s
iter   18/300: games={'X': 14, 'O': 3, 'draw': 3}, buffer=4629, value_loss=0.2902, policy_loss=0.9510, value_error_vs_solver=0.6053 (X=0.6326, O=0.6146), elapsed=3.7s
iter   19/300: games={'X': 13, 'O': 3, 'draw': 4}, buffer=4850, value_loss=0.2836, policy_loss=0.9285, value_error_vs_solver=0.6156 (X=0.6167, O=0.5202), elapsed=4.3s
iter   20/300: games={'X': 14, 'O': 2, 'draw': 4}, buffer=5056, value_loss=0.2726, policy_loss=0.9245, value_error_vs_solver=0.5693 (X=0.5884, O=0.5894), elapsed=3.5s
iter   21/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=5212, value_loss=0.2653, policy_loss=0.8992, value_error_vs_solver=0.5644 (X=0.6151, O=0.6019), elapsed=3.0s
iter   22/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=5368, value_loss=0.2630, policy_loss=0.8892, value_error_vs_solver=0.5818 (X=0.5865, O=0.6186), elapsed=3.4s
iter   23/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=5544, value_loss=0.2574, policy_loss=0.8730, value_error_vs_solver=0.5325 (X=0.5748, O=0.5650), elapsed=2.9s
iter   24/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=5733, value_loss=0.2507, policy_loss=0.8750, value_error_vs_solver=0.5398 (X=0.5511, O=0.5800), elapsed=3.1s
iter   25/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=5900, value_loss=0.2474, policy_loss=0.8569, value_error_vs_solver=0.5746 (X=0.6125, O=0.5621), elapsed=2.7s
iter   26/300: games={'X': 14, 'O': 4, 'draw': 2}, buffer=6068, value_loss=0.2470, policy_loss=0.8551, value_error_vs_solver=0.6237 (X=0.6031, O=0.6402), elapsed=2.6s
iter   27/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=6251, value_loss=0.2446, policy_loss=0.8442, value_error_vs_solver=0.5408 (X=0.5982, O=0.5224), elapsed=2.7s
iter   28/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=6457, value_loss=0.2351, policy_loss=0.8280, value_error_vs_solver=0.5705 (X=0.6068, O=0.6946), elapsed=3.7s
iter   29/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=6610, value_loss=0.2232, policy_loss=0.8185, value_error_vs_solver=0.5486 (X=0.5925, O=0.4892), elapsed=4.0s
iter   30/300: games={'X': 16, 'O': 4, 'draw': 0}, buffer=6750, value_loss=0.2261, policy_loss=0.8076, value_error_vs_solver=0.5400 (X=0.6523, O=0.5327), elapsed=3.4s
iter   31/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=6882, value_loss=0.2381, policy_loss=0.8254, value_error_vs_solver=0.5912 (X=0.5798, O=0.5649), elapsed=1.9s
iter   32/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=7015, value_loss=0.2298, policy_loss=0.8052, value_error_vs_solver=0.5675 (X=0.6140, O=0.5574), elapsed=1.8s
iter   33/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=7185, value_loss=0.2281, policy_loss=0.8122, value_error_vs_solver=0.5312 (X=0.5556, O=0.5260), elapsed=2.4s
iter   34/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=7338, value_loss=0.2222, policy_loss=0.7963, value_error_vs_solver=0.5473 (X=0.5177, O=0.5153), elapsed=2.2s
iter   35/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=7474, value_loss=0.2156, policy_loss=0.7902, value_error_vs_solver=0.5686 (X=0.5819, O=0.5638), elapsed=2.1s
iter   36/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=7643, value_loss=0.2117, policy_loss=0.7788, value_error_vs_solver=0.5439 (X=0.6032, O=0.5123), elapsed=3.0s
iter   37/300: games={'X': 16, 'O': 3, 'draw': 1}, buffer=7807, value_loss=0.2208, policy_loss=0.7791, value_error_vs_solver=0.5382 (X=0.5254, O=0.5869), elapsed=2.4s
iter   38/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=7979, value_loss=0.2176, policy_loss=0.7758, value_error_vs_solver=0.5832 (X=0.4916, O=0.5020), elapsed=2.3s
iter   39/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.2099, policy_loss=0.7547, value_error_vs_solver=0.5595 (X=0.5563, O=0.6615), elapsed=1.7s
iter   40/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.2102, policy_loss=0.7354, value_error_vs_solver=0.5490 (X=0.5889, O=0.5740), elapsed=2.5s
