Loading solver states for value-error benchmarking...
Run 'twonet': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter    1/300: games={'X': 8, 'O': 10, 'draw': 2}, buffer_x=98, buffer_o=89, value_loss=0.9027, policy_loss=1.5219, value_error_vs_solver=0.7313 (X=0.7279, O=0.7347), elapsed=6.9s
iter    2/300: games={'X': 16, 'O': 4, 'draw': 0}, buffer_x=195, buffer_o=170, value_loss=0.8950, policy_loss=1.5664, value_error_vs_solver=0.7662 (X=0.7459, O=0.7866), elapsed=6.3s
iter    3/300: games={'X': 7, 'O': 10, 'draw': 3}, buffer_x=303, buffer_o=270, value_loss=0.8114, policy_loss=1.5727, value_error_vs_solver=0.8154 (X=0.7401, O=0.8907), elapsed=8.3s
iter    4/300: games={'X': 10, 'O': 10, 'draw': 0}, buffer_x=387, buffer_o=344, value_loss=0.7788, policy_loss=1.5673, value_error_vs_solver=0.8248 (X=0.8002, O=0.8494), elapsed=5.8s
iter    5/300: games={'X': 12, 'O': 8, 'draw': 0}, buffer_x=500, buffer_o=445, value_loss=0.8272, policy_loss=1.5757, value_error_vs_solver=0.7995 (X=0.7628, O=0.8362), elapsed=8.8s
iter    6/300: games={'X': 14, 'O': 5, 'draw': 1}, buffer_x=619, buffer_o=549, value_loss=0.7925, policy_loss=1.5558, value_error_vs_solver=0.7777 (X=0.7500, O=0.8055), elapsed=8.9s
iter    7/300: games={'X': 11, 'O': 9, 'draw': 0}, buffer_x=696, buffer_o=615, value_loss=0.7542, policy_loss=1.5358, value_error_vs_solver=0.7517 (X=0.6400, O=0.8634), elapsed=5.3s
iter    8/300: games={'X': 13, 'O': 6, 'draw': 1}, buffer_x=789, buffer_o=694, value_loss=0.7196, policy_loss=1.5168, value_error_vs_solver=0.7825 (X=0.7067, O=0.8583), elapsed=8.3s
iter    9/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer_x=864, buffer_o=751, value_loss=0.6708, policy_loss=1.5024, value_error_vs_solver=0.7581 (X=0.6593, O=0.8569), elapsed=5.8s
iter   10/300: games={'X': 14, 'O': 3, 'draw': 3}, buffer_x=973, buffer_o=844, value_loss=0.6375, policy_loss=1.4834, value_error_vs_solver=0.8071 (X=0.6841, O=0.9302), elapsed=7.9s
iter   11/300: games={'X': 17, 'O': 3, 'draw': 0}, buffer_x=1055, buffer_o=909, value_loss=0.6134, policy_loss=1.4632, value_error_vs_solver=0.7705 (X=0.6823, O=0.8587), elapsed=5.3s
iter   12/300: games={'X': 13, 'O': 5, 'draw': 2}, buffer_x=1172, buffer_o=1012, value_loss=0.6210, policy_loss=1.4344, value_error_vs_solver=0.7446 (X=0.6574, O=0.8318), elapsed=7.6s
iter   13/300: games={'X': 16, 'O': 4, 'draw': 0}, buffer_x=1259, buffer_o=1083, value_loss=0.6019, policy_loss=1.4064, value_error_vs_solver=0.7496 (X=0.6219, O=0.8773), elapsed=5.8s
iter   14/300: games={'X': 15, 'O': 5, 'draw': 0}, buffer_x=1351, buffer_o=1160, value_loss=0.5972, policy_loss=1.3855, value_error_vs_solver=0.7426 (X=0.5926, O=0.8926), elapsed=6.8s
iter   15/300: games={'X': 12, 'O': 7, 'draw': 1}, buffer_x=1463, buffer_o=1259, value_loss=0.6016, policy_loss=1.3467, value_error_vs_solver=0.7518 (X=0.6567, O=0.8469), elapsed=7.7s
iter   16/300: games={'X': 14, 'O': 4, 'draw': 2}, buffer_x=1574, buffer_o=1355, value_loss=0.5797, policy_loss=1.3164, value_error_vs_solver=0.7652 (X=0.6971, O=0.8333), elapsed=7.7s
iter   17/300: games={'X': 16, 'O': 4, 'draw': 0}, buffer_x=1659, buffer_o=1424, value_loss=0.5731, policy_loss=1.2894, value_error_vs_solver=0.7047 (X=0.6407, O=0.7687), elapsed=3.8s
iter   18/300: games={'X': 13, 'O': 3, 'draw': 4}, buffer_x=1771, buffer_o=1522, value_loss=0.5501, policy_loss=1.2555, value_error_vs_solver=0.7362 (X=0.6314, O=0.8411), elapsed=6.5s
iter   19/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer_x=1861, buffer_o=1594, value_loss=0.5288, policy_loss=1.2213, value_error_vs_solver=0.7519 (X=0.6841, O=0.8198), elapsed=4.7s
iter   20/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer_x=1944, buffer_o=1659, value_loss=0.5175, policy_loss=1.2034, value_error_vs_solver=0.7125 (X=0.6266, O=0.7984), elapsed=4.4s
iter   21/300: games={'X': 15, 'O': 4, 'draw': 1}, buffer_x=2042, buffer_o=1741, value_loss=0.5117, policy_loss=1.1750, value_error_vs_solver=0.7013 (X=0.6170, O=0.7856), elapsed=4.4s
iter   22/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer_x=2134, buffer_o=1816, value_loss=0.5080, policy_loss=1.1571, value_error_vs_solver=0.7006 (X=0.6135, O=0.7876), elapsed=5.1s
iter   23/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer_x=2238, buffer_o=1902, value_loss=0.4847, policy_loss=1.1314, value_error_vs_solver=0.6502 (X=0.5182, O=0.7821), elapsed=5.8s
iter   24/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer_x=2351, buffer_o=1997, value_loss=0.4663, policy_loss=1.1128, value_error_vs_solver=0.7021 (X=0.6102, O=0.7941), elapsed=6.4s
