iteration,wins_X,wins_O,draws,buffer_size,value_loss,policy_loss,value_error_vs_solver,value_error_X,value_error_O,elapsed_sec
1,9,8,3,194,0.8865139217869795,0.9904018562439671,0.5829072396865242,0.5924265064114325,0.573387972961616,7.952008485794067
2,7,10,3,394,0.8543401305734201,0.8523394971922614,0.7151307073263721,0.7216225158876262,0.708638898765118,7.0263893604278564
3,8,11,1,600,-1,0.8810542556345912,0.7504366902984887,0.6837626994618798,0.8171106811350977,6.9851484298706055
4,8,11,1,799,0.8691758714393194,0.8512499767925078,0.7619275250775435,0.7402241624231063,0.7836308877319805,7.026105880737305
5,13,7,0,970,-1,0.7980798507537584,0.8049017856126223,0.7171998996407002,0.8926036715845443,6.422412633895874
6,9,10,1,1125,-1,0.7351089062580111,0.7487633805759721,0.7099408351631843,0.78758592598876,5.195561408996582
7,13,7,0,1282,0.8305309514310174,0.732147029028879,0.7665477009171566,0.7980358699765873,0.7350595318577261,5.211673736572266
8,13,6,1,1434,0.7587191218546114,0.696941039392904,0.8031289571336643,0.7948550153156774,0.8114028989516512,5.436530828475952
9,14,5,1,1587,-1,0.6653377592271239,0.7254096822052614,0.6882694993328629,0.76254986507766,4.794861793518066
10,12,7,1,1771,0.7316180966044972,0.661989256312444,0.7779472343361871,0.7655104893737159,0.7903839792986581,6.671882390975952
11,13,7,0,1964,0.7179386809665735,0.6693016817873421,0.7553321982162167,0.7718202619218899,0.7388441345105434,5.847045660018921
12,8,9,3,2225,0.70955580824873,0.6805578469355092,0.6885490041016652,0.726988960093787,0.6501090481095434,9.783385992050171
13,13,6,1,2410,0.7047992423712501,0.6748666059918174,0.7102961463308775,0.7460735060243658,0.674518786637389,6.313858270645142
14,9,10,1,2633,0.6954376527804024,0.6682114592745809,0.7274070883398116,0.746100507224077,0.7087136694555463,7.9682557582855225
15,11,9,0,2850,0.6884662077456102,0.6710988485877972,0.723409158655177,0.7674053280524096,0.6794129892579444,6.884570598602295
16,12,7,1,3067,0.6937963314839888,0.6655069916787298,0.671285081911298,0.7033025940846601,0.6392675697379359,8.59981369972229
17,15,5,0,3196,0.6691557904751493,0.6491915924325224,0.7014535914059958,0.7694263788819333,0.6334808039300585,4.837803840637207
18,11,4,5,3424,0.6400161486753339,0.6030371622257475,0.7229436239158309,0.7890525158696937,0.6568347319619682,9.18976902961731
19,12,3,5,3681,0.6055146235938592,0.5626433512658149,0.681495585241642,0.6771022348834769,0.685888935599807,10.05578899383545
20,12,4,4,3877,0.5909153365267057,0.5647186738459465,0.707509079660357,0.7961268682971595,0.6188912910235546,7.7652060985565186
21,9,3,8,4187,0.5547513785230372,0.5291685289066419,0.6629963832516321,0.733938109981958,0.5920546565213062,12.512400388717651
22,9,3,8,4480,0.5183651625277332,0.5005314058988556,0.7066125814994217,0.7783465746135245,0.6348785883853189,11.598965883255005
23,15,2,3,4671,0.5150319336176356,0.4884386805843965,0.7027456327999869,0.7535892041324933,0.6519020614674805,5.980920791625977
24,12,2,6,4935,0.49241606895189793,0.4642448794068712,0.6549664238260303,0.6702744424508258,0.6396584052012348,9.345778703689575
25,9,6,5,5188,0.47994321089707115,0.45435368265723314,0.6583511063027907,0.6782843103125772,0.6384179022930041,9.380052089691162
26,9,7,4,5451,0.4764955146484429,0.4439980056830882,0.6730723096963849,0.7042456749240444,0.6418989444687252,10.498311996459961
27,12,2,6,5677,0.462283115895234,0.43002534480567306,0.6415381622086127,0.6431500656067023,0.6399262588105231,8.656551361083984
28,12,2,6,5912,0.4488801364283535,0.41354558987852114,0.6339839709236268,0.6560382623368869,0.6119296795103668,9.095665216445923
29,7,2,11,6239,0.43289096646094294,0.4068798884240831,0.6570415715455001,0.6846080812837315,0.6294750618072688,12.715519905090332
30,8,0,12,6554,0.4115445697655,0.3785217022722622,0.6301060299335213,0.6832509204040168,0.5769611394630259,11.414278745651245
31,11,4,5,6787,0.40662369886135563,0.3702928165453821,0.6427149476126537,0.6913437440253812,0.5940861511999261,8.267391920089722
32,16,0,4,6976,0.39887427635025274,0.36004008915890406,0.605848631274079,0.6418635689607323,0.5698336935874257,6.928488731384277
33,12,2,6,7187,0.3923686209237133,0.37195557473014806,0.6657921156448029,0.671157530134009,0.6604267011555968,8.363255739212036
34,14,1,5,7396,0.39051992171303646,0.3534762338106693,0.6448841944122468,0.6887741061447763,0.6009942826797171,7.567862272262573
35,18,1,1,7542,0.389004248040432,0.34085797529504397,0.6580555058864443,0.7151788874847284,0.6009321242881603,4.354962110519409
36,17,2,1,7681,0.3821181313001192,0.33551001621111626,0.5935199176392516,0.58969247144427,0.5973473638342331,4.510696649551392
37,16,1,3,7874,0.3746412115432316,0.3329285836702943,0.637183627841924,0.6974647719749181,0.5769024837089298,6.2942328453063965
38,11,7,2,8047,0.38058652231080087,0.3334688625402789,0.5864228951812871,0.6249582546908423,0.5478875356717318,5.899768352508545
39,15,1,4,8232,0.3819565943262399,0.3337989093822141,0.6280118064455449,0.6392035552417713,0.6168200576493186,6.18415379524231
40,15,3,2,8406,0.37921934358362686,0.3293834408611601,0.5748979545372968,0.5989956905068885,0.550800218567705,5.510005235671997
41,19,0,1,8571,0.37381200034492207,0.32650037933415177,0.598861571016273,0.5997816539439879,0.5979414880885582,4.595426797866821
42,16,4,0,8707,0.3764239109762416,0.32811656725365396,0.5351989812387308,0.5211118903332458,0.5492860721442159,4.554642200469971
43,20,0,0,8849,0.36769148704776367,0.32152660492132906,0.5990022705082207,0.6152299639958728,0.5827745770205687,3.7443671226501465
44,20,0,0,8979,0.3646786653143908,0.31620583709321026,0.5921830713398273,0.6004361301948535,0.583930012484801,3.85334849357605
45,19,0,1,9120,-1,0.3104547714001286,0.6050328271088422,0.5789170548494268,0.6311485993682576,3.6052300930023193
46,18,1,1,9261,-1,0.308070764721258,0.5655218251606757,0.513537497278743,0.6175061530426084,4.036380052566528
47,20,0,0,9389,0.35773931550005394,0.3017117451705468,0.5548946856716921,0.5579759642385426,0.5518134071048415,4.199167966842651
48,17,2,1,9521,0.3502199414658914,0.2984530969151895,0.54109142927375,0.5442199066045982,0.5379629519429018,4.399979829788208
49,16,2,2,9689,0.3618476999124831,0.29939379293588525,0.6020063547480631,0.6492622911316336,0.5547504183644926,5.6594767570495605
50,17,1,2,9855,0.35488186183486464,0.29588949871358355,0.5494791216176337,0.5862435247202025,0.5127147185150649,4.734278917312622
51,18,1,1,10004,-1,0.2924339860341884,0.5904487394140638,0.5319757440852076,0.6489217347429201,3.6293582916259766
52,18,2,0,10140,0.34102564580685246,0.29148103059722563,0.5776498607583263,0.6020414532659083,0.5532582682507442,3.7008700370788574
53,16,2,2,10303,-1,0.2888557959633886,0.5645738462569682,0.5230664628646845,0.6060812296492518,4.363407373428345
54,18,0,2,10450,0.33588709472125705,0.28439657172031174,0.602956861236535,0.6487305829784539,0.5571831394946162,3.662590742111206
55,19,0,1,10605,0.3292412727075996,0.27988822796831947,0.4808719045575988,0.4940082193333263,0.46773558978187135,3.711695432662964
56,19,0,1,10755,0.3278054014412041,0.2812173736465401,0.5812968447229352,0.6364464989640023,0.526147190481868,3.905059576034546
57,20,0,0,10871,0.3257526774996947,0.2741230023762929,0.548052840212498,0.5738798088910597,0.5222258715339362,3.121260166168213
58,19,1,0,11002,0.3226801476239239,0.2722746859630779,0.5610376688250773,0.549326620476433,0.5727487171737218,3.120067834854126
59,18,1,1,11152,0.32283131079657695,0.2741978098886942,0.50797388743201,0.5547289212112156,0.46121885365280435,4.345404624938965
60,18,1,1,11297,0.3160826741756757,0.2659327580587084,0.5853376200180992,0.6461732583463324,0.524501981689866,3.459780693054199
61,19,1,0,11428,0.3133039651750553,0.2666752755355948,0.5031124760499177,0.5065020184290897,0.4997229336707456,3.0259435176849365
62,19,0,1,11583,0.309522349850551,0.2599847384346751,0.5584332232744225,0.6083968405901748,0.50846960595867,5.4241087436676025
63,16,3,1,11723,0.3092707691799144,0.2595425443611232,0.540419937019049,0.5729764896331918,0.5078633844049061,4.482095956802368
64,15,2,3,11894,0.3077390953544478,0.2622633920342672,0.5191958144685044,0.5394126287744947,0.4989790001625141,6.427842140197754
65,18,1,1,12064,0.3064544552251042,0.26019812430856737,0.5627899488578427,0.6226400460570449,0.5029398516586405,5.201805114746094
66,19,1,0,12193,0.3059121988329691,0.25811893663504837,0.5372868407721495,0.575992951560776,0.49858072998352304,4.106842279434204
67,17,3,0,12322,0.3074670597926135,0.2602288875367771,0.5392857684722493,0.5802280528599916,0.49834348408450696,3.8360984325408936
68,15,1,4,12516,0.3044161768789106,0.2572441045298186,0.5100726933765419,0.5331741747490599,0.4869712120040239,6.161919116973877
69,20,0,0,12650,0.31194529387199055,0.2528879055910193,0.5317038016835213,0.5845685906477982,0.4788390127192443,3.75628662109375
70,19,1,0,12773,0.3015661198124531,0.2534593875763187,0.5370912146333283,0.5688428981400145,0.5053395311266421,4.278605222702026
71,20,0,0,12905,0.2962090676530332,0.25215221401629245,0.47537389199875946,0.46706162681523106,0.4836861571822878,3.738280773162842
72,19,0,1,13039,0.2948528004153543,0.24813556277553425,0.46570895819466795,0.5077785851425524,0.42363933124678355,4.700538873672485
73,17,2,1,13177,0.29451647145977594,0.24751492332171246,0.479380103962693,0.4818015507382342,0.47695865718715175,5.104106187820435
74,19,0,1,13325,0.2906385001316683,0.25128917424974145,0.5185323633802704,0.5470376536066042,0.49002707315393673,6.138262748718262
75,19,0,1,13477,0.28765126968586535,0.24845587971770644,0.4778319804113006,0.5543023361981678,0.4013616246244334,5.307647705078125
76,19,0,1,13613,0.2856550735075463,0.2390416015314591,0.5287790685692213,0.5467913653201112,0.5107667718183313,4.991635322570801
77,18,1,1,13768,0.2853064367671791,0.23705765817496796,0.5016696073948388,0.5009631510371707,0.5023760637525068,5.001645088195801
78,19,1,0,13889,0.28622314748670147,0.23951618323314872,0.5341014982012617,0.5621388166702016,0.506064179732322,4.877131938934326
79,16,2,2,14049,0.28215990601880925,0.23631331167362912,0.5136552475596974,0.5540200276856962,0.4732904674336985,4.9818809032440186
80,18,1,1,14186,0.2802014092845553,0.2362379441406065,0.528100673028995,0.5767483888513256,0.4794529572066644,4.444483995437622
81,17,1,2,14340,0.2761880896687613,0.23224623923815968,0.5063628919078631,0.5392832034024999,0.47344258041322623,4.976059436798096
82,20,0,0,14468,0.278739647407638,0.23230482472479205,0.47329715633914193,0.48923910726469333,0.45735520541359054,3.6866722106933594
83,20,0,0,14606,0.27375006842075866,0.22852029965171225,0.505821220337655,0.542439112715139,0.469203327960171,4.405539512634277
84,18,2,0,14698,0.27393540075397865,0.2288362466761314,0.5451839695186437,0.5688705165175235,0.5214974225197638,4.225124359130859
85,18,0,2,14766,0.26798202632594365,0.2276642814114198,0.49821905076010453,0.5318160605991661,0.464622040921043,6.3657386302948
86,18,2,0,14822,0.2643604121001099,0.22641039300451654,0.4581497026881619,0.5196392908696099,0.39666011450671396,4.762923240661621
87,18,0,2,14880,0.25751822167147487,0.22512612231313045,0.522426272801441,0.5720003887032612,0.47285215689962096,6.18497371673584
88,20,0,0,14933,0.24992932863378525,0.22627301398537153,0.5410996424280019,0.5972643858119273,0.48493489904407644,4.238168954849243
89,18,0,2,15009,0.24390525511109343,0.2202651570865223,0.46165175800491576,0.5314351416523522,0.3918683743574794,6.383178472518921
90,17,2,1,15073,0.24306240807310167,0.22022711798774902,0.5386398443313976,0.5564158109324108,0.5208638777303843,5.667924880981445
91,19,0,1,15131,0.23705403062633343,0.22056687149159152,0.5597478454900935,0.602075993519918,0.517419697460269,4.48957085609436
92,19,1,0,15183,0.2302827210175103,0.2177163956737275,0.5193876639755143,0.5736692295943228,0.46510609835670585,4.369190454483032
93,19,0,1,15243,0.22488456325315717,0.2172567162288419,0.5209865021294785,0.6027767037371107,0.43919630052184633,5.28402042388916
