iteration,wins_X,wins_O,draws,buffer_size,value_loss,policy_loss,value_error_vs_solver,value_error_X,value_error_O,elapsed_sec
1,10,9,1,193,1.1096045578200338,1.6262952116329619,0.7259017122028121,0.6987927650744075,0.7218138196018388,5.3919618129730225
2,11,7,2,420,0.8947644938901046,1.636094480995917,0.7984068949853065,0.8299498639860303,0.7675023389864655,5.369073867797852
3,8,12,0,642,0.9116315063112789,1.631542469984965,0.7705193338761374,0.7757044100325731,0.8017983007659888,5.830698013305664
4,12,8,0,812,0.9067753051341193,1.6012057764440704,0.7292375778335799,0.7001454049939047,0.7555094442331083,3.9981112480163574
5,9,10,1,995,0.8415506614600922,1.5939775111357208,0.7590733161588326,0.728100085838086,0.7736357179087712,5.333108901977539
6,7,13,0,1228,0.8697511504275072,1.5741016249935766,0.7468223527107183,0.7056201559045926,0.7496099665416872,5.5777411460876465
7,7,11,2,1513,0.8382820922323095,1.5497529955832872,0.729021945865903,0.7452448986507656,0.7672187399930859,9.447952032089233
8,14,6,0,1665,0.7995826423429014,1.5384660689659468,0.7134827073092935,0.6613508578605576,0.6496157352093767,4.861412048339844
9,9,10,1,1856,0.7925454160754297,1.5214629328438816,0.7070105990244632,0.7109198437388955,0.747945532613345,4.080017805099487
10,12,7,1,2054,0.7989948136045611,1.5187773713606385,0.6733976978068003,0.6797263878245302,0.6968565724096119,5.2119059562683105
11,9,10,1,2279,0.7827424220033009,1.5087753179798313,0.6851847041577689,0.7199938559458686,0.6883429126759908,5.795939683914185
12,10,8,2,2513,0.7683448159763477,1.490376058538774,0.7044160700391241,0.7084119065554736,0.6769345683123695,6.1525938510894775
13,9,8,3,2768,0.7622490815229263,1.4765409756225392,0.6328423361219467,0.6494256495090288,0.6858054146378153,6.435616970062256
14,11,8,1,2990,0.7378501009949545,1.4619679689075376,0.6634910605533683,0.65668207933533,0.6749014586800228,5.365428924560547
15,10,9,1,3227,0.7458284132352251,1.4407393694936925,0.6665043425324584,0.6757539172209661,0.7053087879917148,5.674247980117798
16,10,9,1,3446,0.7384469775408004,1.4109186244911758,0.6484613364182944,0.6674840997571768,0.6928027583642923,5.448884010314941
17,11,5,4,3691,0.713170978504546,1.3868924133411498,0.6575419329768865,0.5915709850310392,0.6369264214280915,6.728509426116943
18,10,6,4,3983,0.67730808890731,1.3603968189301585,0.6109809795742361,0.620759827161864,0.6492717677444908,7.9763875007629395
19,7,10,3,4250,0.6844341861328671,1.3353243365537482,0.6532667690273636,0.6078398098334536,0.6060753692563775,7.092030763626099
20,9,8,3,4494,0.6706690563440275,1.318676316469793,0.6551711437502131,0.6201851734021078,0.6033834365726469,5.9021522998809814
21,9,7,4,4768,0.6474142337804845,1.2924494046210184,0.6561910096535616,0.6932238004790098,0.6438933955612132,9.459635496139526
22,14,4,2,4973,0.6449714725007575,1.2811212800776017,0.6265673823763609,0.6275999845146544,0.6535637933361278,6.166563034057617
23,8,6,6,5282,0.6181954559352648,1.2597147098467496,0.5997913578277078,0.5942109635668645,0.6532173360727743,9.474662065505981
24,14,4,2,5523,0.6043861194595301,1.2496503272558848,0.6342734632718973,0.6458460589422899,0.6052593519844125,7.6088197231292725
25,11,5,4,5776,0.5954706526262725,1.229182907481905,0.6331932335685562,0.666414272612268,0.6623161987220371,7.013108015060425
