iteration,wins_X,wins_O,draws,buffer_size,value_loss,policy_loss,value_error_vs_solver,value_error_X,value_error_O,elapsed_sec
1,0,15,5,280,1.1476537722019888,0.6748972589540189,0.6648301457621213,0.66438825113625,0.6630457671520654,13.21672797203064
2,0,12,8,534,0.7594333543115994,0.6874041856981852,0.7753395155354558,0.7785967466326698,0.7850503423642078,11.63872742652893
3,0,18,2,747,0.6709814797791983,0.6924488818166309,0.7933297738664861,0.836459058940971,0.7703934904280497,9.403172016143799
4,0,14,6,1097,0.4809427433731137,0.7040720627594067,0.7263574629927417,0.6522204668674694,0.6985017168183029,17.12382745742798
5,3,10,7,1340,0.4097895345928503,0.6598348120232814,0.7554634429871995,0.7472177406518358,0.8075058724400864,11.377251625061035
6,6,10,4,1571,0.4142485765858997,0.6587158944311919,0.6755147876945228,0.7187652450573896,0.7138794002184324,11.681217193603516
7,1,14,5,1829,0.40594855725278145,0.6214680529614566,0.7000252854684912,0.7019926918292237,0.7579786641490821,11.64188814163208
8,4,8,8,2111,0.36328874218531404,0.6116993516100472,0.6801449247862156,0.7355880648931975,0.7194690054891544,14.896182298660278
9,4,7,9,2390,0.3393772090599767,0.578865258507493,0.7072757740589302,0.6576542134695869,0.7202210606818463,16.409196615219116
10,10,2,8,2653,0.3096982789006082,0.5511671750486108,0.6920114752836494,0.7201034140223228,0.720629781577885,11.478149652481079
11,9,4,7,2871,0.30758196588672515,0.5266145159036765,0.6574044636244748,0.6351181329989583,0.6594912633502992,8.92226243019104
12,12,4,4,3055,0.3026079662734305,0.4977708435943062,0.6442502575227614,0.6797287032430602,0.6531453897710423,7.209891080856323
13,14,2,4,3225,0.289849738758625,0.4888700654668597,0.7284024060426538,0.795046545655764,0.7007233313373425,8.453694343566895
14,8,3,9,3466,0.2764953593354345,0.4640318614076228,0.6289094985079111,0.663347373809762,0.6598709093956773,11.084933280944824
15,16,0,4,3657,0.2648159571615485,0.44872729535124434,0.641082911991803,0.5904106866495502,0.6311497763331817,10.705596208572388
