iteration,wins_X,wins_O,draws,buffer_size,value_loss,policy_loss,value_error_vs_solver,value_error_X,value_error_O,elapsed_sec
1,9,9,2,227,1.057740993868039,1.5862875199708553,0.6706545938212701,0.6131627806058805,0.6530518022731611,9.802659749984741
2,6,11,3,512,0.8611105672481353,1.5700425635655124,0.8081368297814467,0.7685566186557771,0.8127666575625008,14.231858253479004
3,2,14,4,768,0.7532662292364785,1.540195789915727,0.7593486691319538,0.7303269127105528,0.7427564868350369,14.952674627304077
4,4,13,3,1040,0.6624081625895708,1.4860367041733709,0.7348349644834701,0.7290645476888958,0.7778590772353688,16.191688299179077
5,4,13,3,1237,0.6315948510781147,1.4776391289639337,0.7047262243500707,0.744003818870107,0.7202113287994777,11.181964635848999
6,4,11,5,1485,0.5623979987418442,1.4393314546723754,0.6950965584218163,0.8104462262595559,0.7601362633412956,16.022518634796143
7,5,8,7,1768,0.5175719725218915,1.3948964859442499,0.7032002114756121,0.671530167940063,0.6588764429295195,17.178669452667236
8,6,7,7,2041,0.4995414207141145,1.3548375497878236,0.691421736988621,0.6961198240991086,0.6933185769176256,17.243961572647095
9,9,4,7,2309,0.4651618181427323,1.2937339384805444,0.7042448918865613,0.6735117580913896,0.6741833807378463,14.740822553634644
10,8,5,7,2573,0.4268450591844776,1.2308017827803461,0.6892901693297397,0.6927919794241819,0.7005547395890596,15.234018802642822
11,6,6,8,2859,0.3956984755551158,1.1820745949737104,0.6809256683667977,0.6266736742034072,0.6559576590800342,15.290075302124023
12,5,5,10,3158,0.3757446152952999,1.1234340226863626,0.6931093024203744,0.6430335978109483,0.6329070610064513,17.272943019866943
13,5,8,7,3418,0.3586615314469829,1.0859338650293204,0.6320902512503095,0.67479855946771,0.6502596572985765,16.58939552307129
14,6,4,10,3726,0.3411585146246913,1.043773617704304,0.6593448782053828,0.6330932582202,0.6126718197613877,18.739736318588257
15,4,8,8,3998,0.3239023295090111,0.9935002048645192,0.6433853161949213,0.6638112740437331,0.630259006645976,15.224739789962769
16,5,6,9,4294,0.32185322457880294,0.972464132909416,0.6635028763757689,0.6565432735083078,0.65395144331477,15.795069217681885
17,9,3,8,4561,0.303551724216201,0.9248474537318827,0.6168070506151979,0.7197842040288305,0.5889459830948456,13.412142515182495
18,8,2,10,4864,0.302800806739929,0.9004795799383812,0.6525989194177955,0.6133706900301104,0.5908968197137854,13.771490573883057
19,8,4,8,5122,0.29253602132882967,0.8795570930507796,0.5890308884824185,0.6606646937100354,0.5777054081617142,11.53609585762024
20,13,1,6,5342,0.27871703352350563,0.8553163604778056,0.598277670592661,0.62631481064457,0.5612967641687843,10.250997066497803
21,3,4,13,5666,0.2769824460959708,0.8286378986329268,0.6172469305251966,0.6189752277110059,0.5680473081457232,14.292613506317139
22,5,5,10,5969,0.27329731301105875,0.8167643428021588,0.5968720533913519,0.5926193493243405,0.5180271782932538,13.880839347839355
23,12,2,6,6210,0.279231893601195,0.8092543158910429,0.6032445660345581,0.6400994739791205,0.5663361099785715,12.367750406265259
24,8,2,10,6481,0.2579663367792661,0.7865488684191146,0.5938494603647313,0.6300226319774008,0.5648282696865912,13.06585693359375
25,12,1,7,6738,0.2541022522429712,0.7733936547267826,0.5953352118657876,0.5919890331136842,0.58890047373529,12.031625986099243
26,15,2,3,6932,0.26826495096878294,0.7878227915009319,0.5671125018023384,0.5929565623355113,0.5546881944935126,7.4824159145355225
27,16,1,3,7111,0.25696212530506257,0.7804041970606256,0.5255331417347521,0.5470252349268991,0.5221499849142951,7.371786594390869
28,11,6,3,7278,0.25642274408463706,0.774499624411882,0.561570540468124,0.6021466532557578,0.5149330962259417,6.991809606552124
29,13,0,7,7517,0.2646573418219875,0.7714706063595593,0.6033643120566575,0.5780932872133229,0.4897758242361154,9.199957370758057
30,12,0,8,7780,0.255683969885703,0.7558211470485179,0.5839032909583523,0.6085567827663396,0.5239195530588616,12.073295831680298
31,18,0,2,7951,0.25000579832181485,0.7569410842118823,0.5228251668560095,0.7043481224526669,0.5129764093778882,6.856703519821167
32,16,1,3,8000,0.2455083810936592,0.7391291582175261,0.5254204737747179,0.5051811687284585,0.5016998765159596,7.139829397201538
33,19,0,1,8000,0.23449843349808053,0.7353111858834432,0.5503609770223695,0.5369366180073477,0.5280658042122891,6.61924409866333
34,16,1,3,8000,0.22573124167320713,0.7089607750575281,0.5631053656369859,0.540974143929247,0.4986914622245033,7.804537296295166
35,16,2,2,8000,0.22272114615158545,0.6861326995397159,0.5644138252745147,0.5966275003864203,0.496309053271679,7.42000412940979
36,18,1,1,8000,0.21843817422996867,0.6760454416922994,0.5091079593409044,0.539264067522447,0.4914014780081644,4.941762447357178
37,17,1,2,8000,0.20798940467010207,0.6665501149624967,0.509339705120571,0.4978505925296385,0.50201930587054,5.464690923690796
38,18,0,2,8000,0.20261693487333124,0.6499916212150824,0.5252337377551071,0.525329600311462,0.5123370344393283,4.887984752655029
39,16,1,3,8000,0.19423671449483815,0.6363601556600234,0.49093799077115874,0.542040787102297,0.47097449396607594,5.958210468292236
40,17,1,2,8000,0.19717503624044233,0.6088268435087294,0.44497846413922704,0.5005764393574789,0.515701229007821,4.9486939907073975
41,18,1,1,8000,0.18632776850460725,0.6099002894527449,0.4985168197251974,0.5261948570711573,0.5192776345554407,5.852851152420044
42,17,0,3,8000,0.18823041650308872,0.6151044240269328,0.5072548340501921,0.4958102190822119,0.4973720225127135,7.020277261734009
43,19,0,1,8000,0.18408224682909452,0.6001859762187557,0.4434711806353811,0.4864638856535429,0.4445157869965635,5.549415349960327
44,18,1,1,8000,0.17154393258004663,0.5964715775811023,0.45415706318593607,0.5026265886324341,0.4085177399745543,5.828349351882935
45,18,0,2,8000,0.1699599186217711,0.5959080964912383,0.4551219028558388,0.39981696702030367,0.4099726044679084,4.839172601699829
46,16,3,1,8000,0.1768171737113874,0.5990657399730555,0.4779259286950795,0.5032164327183004,0.453164293587702,5.47190523147583
47,17,2,1,8000,0.175192981651227,0.601693283274234,0.5260117489302375,0.47173810645918324,0.4689240210720249,4.956552743911743
48,17,0,3,8000,0.16882564074115675,0.5874772583178131,0.5009925452505856,0.5747394761058168,0.4409552711145814,6.4728944301605225
49,16,1,3,8000,0.17021127376491516,0.5905719745157588,0.4503399159154095,0.5080494829342209,0.46426264169319964,5.894145727157593
50,18,0,2,8000,0.1739197465247865,0.5991224638655291,0.4255178913519665,0.3827994321009023,0.4220438712345254,6.001103639602661
51,17,2,1,8000,0.17097921167567698,0.598375359744825,0.45548265923729075,0.46142792747642375,0.420177797314863,5.072970628738403
52,20,0,0,8000,0.16439603951299878,0.6047744731718525,0.4487193310727352,0.4817520848865174,0.4015884207288488,4.524551630020142
53,18,1,1,8000,0.16022451496591986,0.6025894963058428,0.4767501674681949,0.5307157327559581,0.4004285695391809,4.617782354354858
54,18,0,2,8000,0.15732133450400335,0.6093171620473665,0.454284811123073,0.5030504313607838,0.43216991586748427,5.8024303913116455
55,18,0,2,8000,0.15335337761894424,0.6105864844421243,0.4268371778585482,0.456387048099573,0.4499365309654566,4.89910101890564
56,19,0,1,8000,0.15095142724483757,0.6208247797421462,0.44799117115069087,0.4383595338833795,0.3865540665422035,5.699249982833862
57,19,0,1,8000,0.14873750678765854,0.6107299018324355,0.43743370915949903,0.5154480632026063,0.35879725588004285,5.464231967926025
58,20,0,0,8000,0.13055715049464825,0.618995880605612,0.448680488978358,0.47321138999733453,0.44064847643214416,4.2463462352752686
