iteration,wins_X,wins_O,draws,buffer_size,value_loss,policy_loss,value_error_vs_solver,value_error_X,value_error_O,elapsed_sec
1,1,19,0,217,1.241448036254601,1.557952190874683,0.6968059579260181,0.7077355725124322,0.7308421372224756,3.726642370223999
2,0,19,1,463,1.111899921728332,1.5049986416882672,0.684165327877369,0.7406114382767902,0.7553093447416721,5.153629302978516
3,1,16,3,697,0.8593220876837869,1.482406453642882,0.7410454041102483,0.8377293944145334,0.7272855957191345,4.150923252105713
4,0,13,7,1072,0.5482137875123233,1.4299687506024008,0.7697603160161597,0.7326605450485651,0.7498871433937111,6.593092679977417
5,0,19,1,1308,0.5761693261394955,1.4228179324904868,0.7166361644735849,0.6730363095331156,0.7374889366913612,4.4466094970703125
6,4,12,4,1551,0.5129829499017503,1.373553922100079,0.7445701455037879,0.6803889623691326,0.7295851901796471,4.444775104522705
7,4,14,2,1740,0.48032417916296694,1.3525148356211194,0.6924726890075638,0.6883573416963368,0.6704412243240198,3.386460065841675
8,0,18,2,2037,0.5041710670719602,1.3429214466729384,0.7434372239738434,0.6673811682195251,0.6877080049820115,6.210244178771973
9,7,3,10,2526,0.3963916947023994,1.2487638981593805,0.649876538840146,0.7225635985427882,0.6532438981376536,12.33532428741455
10,7,8,5,2810,0.36240158793815225,1.2137665624852576,0.6849611281528648,0.6701236431120102,0.6920899391562962,6.353310585021973
11,12,4,4,3080,0.3482407286882964,1.1394481798319547,0.6568253224178897,0.6457743920090001,0.6317728465517009,6.117727994918823
12,14,4,2,3278,0.34196237491518344,1.1070755111926673,0.6849703405895262,0.7271195019566601,0.6617955938196073,4.227972507476807
13,12,2,6,3521,0.3279550476002662,1.0808038835168359,0.6130859402869883,0.6696490517336341,0.6033045721796633,6.214147567749023
14,12,4,4,3729,0.3268536726054679,1.0246953429252692,0.6330814910165032,0.6074495676025339,0.6472303508181311,4.0719335079193115
15,11,4,5,3963,0.30595096694893403,1.0099501923846719,0.5987124527470852,0.621224275798241,0.5672929655322394,4.762407064437866
16,10,1,9,4219,0.29925644349325675,0.9983209446270546,0.6505301886743888,0.6207799103363825,0.6449548695594723,4.943995237350464
17,13,5,2,4422,0.3019285060109877,0.9769599230609052,0.6783025958022032,0.7258665198242571,0.6149118373974664,3.6448416709899902
18,14,3,3,4629,0.29020765592002457,0.951034893164407,0.6053012335327975,0.6325658249825512,0.6145793237070544,3.70505428314209
19,13,3,4,4850,0.2836172811487035,0.9285419572758815,0.6155962967469035,0.6167104918275953,0.5202252921945612,4.332774639129639
20,14,2,4,5056,0.2725591512851421,0.9245161713616834,0.5693462042568336,0.5883513717686554,0.589405557112166,3.467045307159424
21,18,0,2,5212,0.2652970462692714,0.899185879873373,0.5644352506243501,0.6151301364812978,0.6019454606840812,2.9933950901031494
22,18,1,1,5368,0.2630271864280604,0.8892005236729896,0.5818374644688824,0.5865339075782998,0.6185684166311913,3.3613860607147217
23,18,0,2,5544,0.2574002786490709,0.8730319218841097,0.5325365161192379,0.5747547022770164,0.5650290190842469,2.8670654296875
24,17,1,2,5733,0.25072481792167794,0.8750476684482863,0.539785397916852,0.5511042377689667,0.579956196705954,3.053117036819458
25,17,0,3,5900,0.24742349464987967,0.8569422280429608,0.5745593352880697,0.6125074147812386,0.5621294807197825,2.7044103145599365
26,14,4,2,6068,0.24698966541963133,0.855107957254486,0.6236587181580149,0.6031233207324312,0.640159980824117,2.5760178565979004
27,17,0,3,6251,0.24455066797318936,0.8442367721925786,0.5407809783976432,0.5981573134148508,0.5223649225643152,2.745912551879883
28,18,0,2,6457,0.2351046064597995,0.8279834130958278,0.5704932080532246,0.6068169765328307,0.6946263803324592,3.730423927307129
29,19,0,1,6610,0.22318211758000184,0.8184864894305646,0.5485837270949291,0.5925076244334719,0.4891514539620932,3.9908382892608643
30,16,4,0,6750,0.22607370390689116,0.8076272468327093,0.5399615497601745,0.6523250045799213,0.5327164970225706,3.4019265174865723
31,20,0,0,6882,0.2381401956687967,0.8253580686454953,0.5912462833491948,0.5797832282965173,0.5648857627312073,1.8889989852905273
32,19,1,0,7015,0.22976440693180133,0.8052340895903574,0.5675097384581189,0.6140433122357173,0.557376666602048,1.8194503784179688
33,18,0,2,7185,0.22809585026633392,0.8122243114182861,0.5311905043421242,0.5556061387757875,0.5259984145927593,2.4177165031433105
34,17,2,1,7338,0.22215293361768707,0.7963475755096282,0.5472760459764441,0.5176707265867705,0.5152601702819631,2.223137140274048
35,18,2,0,7474,0.21557680420761152,0.790167183966053,0.5686212281039671,0.5818663091299922,0.5637945132128922,2.0956122875213623
36,18,0,2,7643,0.2116831210161476,0.7787690066633942,0.5439264076895827,0.603180037143255,0.5123294300423843,2.9854660034179688
37,16,3,1,7807,0.2207988037787938,0.7790685589891168,0.5381652405399107,0.5253665071277379,0.5869081455174328,2.398674726486206
38,18,1,1,7979,0.2175984031931392,0.7757734508891451,0.5831618522939761,0.4915707240275979,0.5019682203252461,2.3091962337493896
39,19,1,0,8000,0.20987672687488243,0.7547072187911329,0.5595131922891377,0.5562936654263373,0.6614641130677343,1.6609694957733154
40,16,1,3,8000,0.21020843764603114,0.7354307059127804,0.549043647544693,0.5888865729473969,0.5739977212087395,2.507927417755127
41,20,0,0,8000,0.19807896791965074,0.7190795793994246,0.5592764824911892,0.5907047449340891,0.590564584768809,2.1369946002960205
42,19,0,1,8000,0.18890276518817678,0.7120974903657274,0.5885246387210766,0.6050169356081718,0.5822387865245681,2.260868787765503
43,19,1,0,8000,0.18751488448505874,0.706251255583448,0.5075735378219519,0.5904322671884508,0.4761401839545973,1.6942212581634521
44,19,0,1,8000,0.18002100183711817,0.6944415287406532,0.5679430257903519,0.5671521566613025,0.4567935398861377,2.0181686878204346
45,18,2,0,8000,0.18976217120104358,0.6814213882282287,0.5420727030908492,0.560766535047439,0.5441654389116656,1.8067994117736816
46,17,2,1,8000,0.18667375664660796,0.6649833344164549,0.5982667799054933,0.5330990826183989,0.5362531386578266,2.9565627574920654
47,18,1,1,8000,0.18135285068407894,0.6570515236398234,0.5976160834560688,0.5448953151958781,0.5423969081750918,1.9522998332977295
48,20,0,0,8000,0.17192731343858741,0.6466291336569485,0.5348298791918128,0.6084966274559676,0.5230572904021992,1.595266580581665
