x_player,o_player,outcome
unbalanced,balanced,X
unbalanced,teacher,X
unbalanced,exploration,X
unbalanced,o_compute,X
unbalanced,imitate,X
unbalanced,twonet,X
unbalanced,catchup,X
unbalanced,catchup_wr,X
unbalanced,perfect_solver,X
unbalanced,plain_mcts,X
unbalanced,random,X
balanced,unbalanced,X
balanced,teacher,X
balanced,exploration,X
balanced,o_compute,X
balanced,imitate,X
balanced,twonet,X
balanced,catchup,X
balanced,catchup_wr,X
balanced,perfect_solver,X
balanced,plain_mcts,X
balanced,random,X
teacher,unbalanced,O
teacher,balanced,draw
teacher,exploration,O
teacher,o_compute,O
teacher,imitate,X
teacher,twonet,O
teacher,catchup,X
teacher,catchup_wr,O
teacher,perfect_solver,X
teacher,plain_mcts,X
teacher,random,X
exploration,unbalanced,X
exploration,balanced,X
exploration,teacher,X
exploration,o_compute,X
exploration,imitate,X
exploration,twonet,X
exploration,catchup,X
exploration,catchup_wr,X
exploration,perfect_solver,X
exploration,plain_mcts,X
exploration,random,X
o_compute,unbalanced,X
o_compute,balanced,X
o_compute,teacher,X
o_compute,exploration,X
o_compute,imitate,X
o_compute,twonet,X
o_compute,catchup,X
o_compute,catchup_wr,X
o_compute,perfect_solver,X
o_compute,plain_mcts,X
o_compute,random,X
imitate,unbalanced,O
imitate,balanced,X
imitate,teacher,X
imitate,exploration,draw
imitate,o_compute,O
imitate,twonet,O
imitate,catchup,draw
imitate,catchup_wr,O
imitate,perfect_solver,X
imitate,plain_mcts,O
imitate,random,X
twonet,unbalanced,X
twonet,balanced,X
twonet,teacher,X
twonet,exploration,X
twonet,o_compute,X
twonet,imitate,X
twonet,catchup,X
twonet,catchup_wr,X
twonet,perfect_solver,X
twonet,plain_mcts,X
twonet,random,X
catchup,unbalanced,X
catchup,balanced,X
catchup,teacher,X
catchup,exploration,X
catchup,o_compute,X
catchup,imitate,X
catchup,twonet,X
catchup,catchup_wr,X
catchup,perfect_solver,X
catchup,plain_mcts,X
catchup,random,X
catchup_wr,unbalanced,X
catchup_wr,balanced,draw
catchup_wr,teacher,draw
catchup_wr,exploration,X
catchup_wr,o_compute,X
catchup_wr,imitate,draw
catchup_wr,twonet,draw
catchup_wr,catchup,X
catchup_wr,perfect_solver,X
catchup_wr,plain_mcts,X
catchup_wr,random,X
perfect_solver,unbalanced,X
perfect_solver,balanced,X
perfect_solver,teacher,X
perfect_solver,exploration,X
perfect_solver,o_compute,X
perfect_solver,imitate,X
perfect_solver,twonet,X
perfect_solver,catchup,X
perfect_solver,catchup_wr,X
perfect_solver,plain_mcts,X
perfect_solver,random,X
plain_mcts,unbalanced,X
plain_mcts,balanced,draw
plain_mcts,teacher,draw
plain_mcts,exploration,draw
plain_mcts,o_compute,O
plain_mcts,imitate,X
plain_mcts,twonet,O
plain_mcts,catchup,O
plain_mcts,catchup_wr,draw
plain_mcts,perfect_solver,draw
plain_mcts,random,X
random,unbalanced,O
random,balanced,O
random,teacher,O
random,exploration,O
random,o_compute,O
random,imitate,O
random,twonet,O
random,catchup,O
random,catchup_wr,O
random,perfect_solver,O
random,plain_mcts,O
