game_num,net_plays,outcome,net_source_iteration,qagent_source_games
1,X,draw,7,193025
2,O,draw,7,193025
3,X,draw,7,193025
4,O,draw,8,193025
5,X,draw,8,193025
6,O,draw,8,193025
7,X,draw,8,193025
8,O,draw,8,193025
9,X,draw,8,193025
10,O,draw,8,193025
11,X,draw,10,193025
12,O,qagent_win,10,193025
13,X,draw,10,193025
14,O,qagent_win,10,193025
15,X,draw,10,193025
16,O,qagent_win,10,193025
17,X,draw,10,193025
18,O,qagent_win,10,193025
19,X,draw,10,193025
20,O,qagent_win,10,193025
21,X,draw,10,193025
22,O,qagent_win,10,193025
23,X,draw,10,193025
24,O,qagent_win,10,193025
25,X,draw,10,193025
26,O,qagent_win,10,193025
27,X,draw,10,193025
28,O,qagent_win,10,193025
29,X,draw,10,193025
30,O,qagent_win,10,193025
31,X,draw,10,193025
32,O,draw,10,193025
33,X,draw,10,193025
34,O,draw,10,193025
35,X,draw,10,193025
36,O,draw,10,193025
37,X,draw,10,193025
38,O,draw,10,193025
39,X,draw,10,193025
40,O,draw,10,193025
41,X,draw,10,193025
42,O,draw,10,193025
44,O,draw,15,193025
45,X,draw,15,193025
46,O,draw,15,193025
47,X,draw,15,193025
48,O,draw,15,193025
49,X,draw,15,193025
50,O,draw,15,193025
51,X,draw,15,193025
52,O,draw,15,193025
53,X,draw,15,193025
54,O,draw,15,193025
55,X,draw,15,193025
56,O,draw,15,193025
57,X,draw,15,193025
58,O,draw,15,193025
59,X,draw,15,193025
60,O,draw,15,193025
61,X,draw,15,193025
62,O,draw,15,193025
63,X,draw,15,193025
64,O,draw,15,193025
65,X,draw,15,193025
66,O,draw,15,193025
67,X,draw,15,193025
68,O,draw,15,193025
69,X,draw,15,193025
70,O,draw,15,193025
71,X,draw,15,193025
72,O,draw,15,193025
73,X,draw,15,193025
74,O,draw,15,193025
75,X,draw,15,193025
76,O,draw,15,193025
77,X,draw,15,193025
78,O,draw,15,193025
79,X,draw,15,193025
80,O,draw,15,193025
81,X,draw,15,193025
82,O,draw,15,193025
83,X,draw,15,193025
84,O,draw,15,193025
85,X,draw,15,193025
86,O,draw,15,193025
87,X,draw,15,193025
88,O,draw,15,193025
89,X,draw,15,193025
90,O,draw,15,193025
91,X,draw,15,193025
92,O,draw,15,193025
93,X,draw,15,193025
94,O,draw,15,193025
