Enumerating all non-terminal states for value-error benchmarking...
  4520 states enumerated.
Run 'base': iterations=300, temperature_moves=4, noise_frac=0.25
iter    1/300: games={'X': 9, 'O': 0, 'draw': 11}, buffer=148, value_loss=0.3139, policy_loss=1.6054, value_error_vs_solver=0.8520 (X=0.9158, O=0.8058), elapsed=3.1s
iter    2/300: games={'X': 15, 'O': 0, 'draw': 5}, buffer=282, value_loss=0.4081, policy_loss=1.6738, value_error_vs_solver=0.8383 (X=0.9115, O=0.7747), elapsed=3.2s
iter    3/300: games={'X': 9, 'O': 0, 'draw': 11}, buffer=438, value_loss=0.4158, policy_loss=1.5381, value_error_vs_solver=0.8643 (X=0.9764, O=0.7805), elapsed=3.2s
iter    4/300: games={'X': 12, 'O': 1, 'draw': 7}, buffer=583, value_loss=0.4555, policy_loss=1.5604, value_error_vs_solver=0.8615 (X=0.8813, O=0.7256), elapsed=3.0s
iter    5/300: games={'X': 13, 'O': 0, 'draw': 7}, buffer=715, value_loss=0.4079, policy_loss=1.5277, value_error_vs_solver=0.7885 (X=0.8300, O=0.7543), elapsed=2.6s
iter    6/300: games={'X': 7, 'O': 1, 'draw': 12}, buffer=876, value_loss=0.3889, policy_loss=1.4870, value_error_vs_solver=0.7971 (X=0.8751, O=0.8134), elapsed=3.4s
iter    7/300: games={'X': 9, 'O': 0, 'draw': 11}, buffer=1028, value_loss=0.3658, policy_loss=1.4679, value_error_vs_solver=0.7944 (X=0.8584, O=0.6935), elapsed=3.1s
iter    8/300: games={'X': 8, 'O': 2, 'draw': 10}, buffer=1180, value_loss=0.3490, policy_loss=1.4504, value_error_vs_solver=0.7825 (X=0.8384, O=0.6365), elapsed=3.0s
iter    9/300: games={'X': 5, 'O': 0, 'draw': 15}, buffer=1342, value_loss=0.3330, policy_loss=1.4018, value_error_vs_solver=0.8645 (X=0.8625, O=0.7027), elapsed=3.1s
iter   10/300: games={'X': 7, 'O': 2, 'draw': 11}, buffer=1494, value_loss=0.3103, policy_loss=1.3764, value_error_vs_solver=0.8336 (X=0.8658, O=0.7013), elapsed=4.7s
iter   11/300: games={'X': 6, 'O': 0, 'draw': 14}, buffer=1654, value_loss=0.2875, policy_loss=1.3413, value_error_vs_solver=0.8080 (X=0.8497, O=0.7850), elapsed=4.7s
