iteration,wins_X,wins_O,draws,buffer_size,value_loss,policy_loss,value_error_vs_solver,value_error_X,value_error_O,elapsed_sec
1,9,0,11,148,0.31389768743583985,1.6054075197288633,0.8519506592774572,0.9158354173030101,0.8058444157707828,3.128504514694214
2,15,0,5,282,0.4080638974531093,1.673808819185293,0.8383255174091211,0.9114601009884499,0.7747221380251097,3.235433340072632
3,9,0,11,438,0.4158458857943951,1.5380725613068176,0.8643471591710111,0.9763566553557325,0.78048113992115,3.21879506111145
4,12,1,7,583,0.45554330713936336,1.5604101034556572,0.8614885235224207,0.8813399279755099,0.7255881613366485,2.962143659591675
5,13,0,7,715,0.40790989136390426,1.527665959481111,0.788528794480072,0.8299544204655167,0.7543346734869965,2.6129658222198486
6,7,1,12,876,0.3888804743122827,1.4870253712088695,0.7970696392667845,0.875071349313726,0.8133785729675875,3.3981878757476807
7,9,0,11,1028,0.36584123549769815,1.467868535446953,0.794350295619315,0.8583564442409017,0.6935298218732364,3.1280155181884766
8,8,2,10,1180,0.34896368363152747,1.4504397247506302,0.78245212081311,0.8383536003580121,0.6365012303488305,3.0000736713409424
9,5,0,15,1342,0.3329850243351136,1.4017743235343438,0.8644692068168557,0.8625490834491778,0.7026977938886165,3.120058298110962
10,7,2,11,1494,0.3103007762610576,1.3764494706877963,0.833571212747012,0.8657775713626903,0.7013447018800639,4.6665403842926025
11,6,0,14,1654,0.2874836277497074,1.3413079276958553,0.8080465219344426,0.8496896468655412,0.7849550101681289,4.701271057128906
12,9,1,10,1799,0.28296190112976044,1.3106879302644647,0.7469864282825946,0.8051062870964057,0.7420456014642031,3.9142141342163086
13,9,1,10,1948,0.2744403163480255,1.29693993048207,0.7971213880630076,0.8878866000173994,0.7267641771221568,3.0291664600372314
14,7,0,13,2106,0.2564885788768388,1.2601162777149184,0.7776267533324831,0.8129085577753659,0.7062166326476489,4.005302429199219
15,10,0,10,2254,0.2508524666870199,1.2387621201604482,0.8040163579102304,0.7872226050529774,0.7728497948408153,3.0298571586608887
16,14,0,6,2394,0.2475639220216473,1.2239128822553267,0.7804438205017141,0.8020007942418006,0.7584508482076237,3.036508083343506
17,11,0,9,2548,0.24331086133738372,1.228608645361717,0.7530186504209541,0.7971989821396525,0.7471818195236696,3.0811142921447754
18,9,0,11,2704,0.23178275822606645,1.1986014849422932,0.8007454703960025,0.8229703962034238,0.7290918221895043,3.4376041889190674
19,8,1,11,2853,0.23217818943089585,1.1952200141432734,0.7946544600936895,0.7740603468941636,0.7526782634499314,2.9998438358306885
20,11,0,9,3001,0.22645438529904982,1.1897266735476106,0.726076283258492,0.7105954573218559,0.7393929688174868,3.391453981399536
21,13,0,7,3145,0.21937213228502034,1.1592086236452102,0.7573806881056466,0.7212976593869782,0.7409063309375732,3.2057011127471924
22,4,0,16,3315,0.21514613763945178,1.1483822993984265,0.6965226353326998,0.7483293191755662,0.7791171920410415,2.7377994060516357
23,8,0,12,3471,0.20480147871318316,1.132062857816144,0.7364514846447963,0.696750700827714,0.748900704810745,2.633126735687256
24,11,0,9,3615,0.20251082858247427,1.1378639959463308,0.739695955805735,0.659755070494904,0.7389370683007722,2.3027632236480713
25,7,0,13,3771,0.19336333282787244,1.1007528034483982,0.6965848247073172,0.6946202271627689,0.7039401334209616,2.7180016040802
26,8,0,12,3933,0.19456566093241728,1.0831441263012813,0.709665155776502,0.6366465486052635,0.7827297479610869,2.3174545764923096
27,8,0,12,4000,0.18836240897361595,1.0810299621501573,0.6860066535785004,0.674070720250732,0.7388800000666431,2.456852912902832
28,3,0,17,4000,0.19179023598636302,1.0588452207311114,0.7506870696484305,0.7236452831141315,0.7609513830523534,2.2033262252807617
29,4,1,15,4000,0.18086602396021792,1.0321035799292653,0.7670388673479461,0.6439091225664486,0.8447260538259685,2.905334711074829
30,5,0,15,4000,0.17377950846011864,1.0148675901862911,0.686607201545175,0.7125963715801078,0.7803687462557042,2.5174107551574707
31,5,0,15,4000,0.17137764507564146,0.9892835935206474,0.7224999777330035,0.6874437963167171,0.7660677394858721,2.425208330154419
32,4,0,16,4000,0.16344072544144947,0.969383398687701,0.6920951207998761,0.6225434223447588,0.8333452374879502,2.4655234813690186
33,5,1,14,4000,0.16040261744308168,0.9577039420176554,0.7277797179609383,0.6241197501680051,0.7759081249838347,2.3550994396209717
34,2,0,18,4000,0.1509629965199857,0.9468696237691647,0.6650599690367921,0.6498280215749157,0.7401856925877403,2.332331895828247
35,5,0,15,4000,0.15603214342666208,0.9301619061910273,0.6750516047957279,0.6789524275555205,0.6746723798301036,3.402958393096924
36,2,1,17,4000,0.14708441264684471,0.8962132766983034,0.6648761295927791,0.6506241650480827,0.720688655799376,2.930800199508667
37,3,1,16,4000,0.14781463630744626,0.8900643929847774,0.7291069542625808,0.6169444993906716,0.7787908151277133,2.5943379402160645
38,5,0,15,4000,0.14109421222030186,0.8875827248105197,0.6476981290218214,0.6163834283078902,0.7872038234156632,2.503812551498413
39,6,0,14,4000,0.14283369091205744,0.8765996294516982,0.6718019021778552,0.5885046616509136,0.6762513137489483,2.4099652767181396
